job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
shift supervisor trainee,16.00,18.50,$,[],2024-03-17T12:36:12Z,13881512,"[{'name': 'Winchester, KY'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-160af1,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Sr. Systems Specialist - Smart Buildings / Automation - Cedar Rapids,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-03T23:45:16Z,11034620,"[{'name': 'Waterloo, IA'}]",[{'name': 'Design and UX'}],senior,https://www.themuse.com/jobs/siemens/sr-systems-specialist-smart-buildings-automation-cedar-rapids-8e652c,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Night Pharmacist FT,57.00,70.00,$,[],2024-03-17T12:50:30Z,12328400,"[{'name': 'Erie, PA'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/night-pharmacist-ft-46612e,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:42:27Z,13522911,"[{'name': 'Springfield, MA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-4df574,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,19.50,$,[],2024-03-17T12:32:16Z,14104693,"[{'name': 'DeLand, FL'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-c7c87a,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician Per Diem,16.00,19.50,$,[],2024-03-17T12:27:44Z,14102286,"[{'name': 'Greenville, SC'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-per-diem-265ed5,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
"Service Specialist / Technician (HVAC Controls) - Building Automation - New York, NY (Metro NYC)",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-13T23:33:38Z,11371161,"[{'name': 'Union, NJ'}]",[{'name': 'Education'}],mid,https://www.themuse.com/jobs/siemens/service-specialist-technician-hvac-controls-building-automation-new-york-ny-metro-nyc-8ee333,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Pharmacy Technician,0.00,0.00,$,[],2024-03-17T12:39:33Z,13772574,"[{'name': 'White Plains, NY'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-ead995,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:27:41Z,14148922,"[{'name': 'Plymouth, MN'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-6cf102,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:22:28Z,14171360,"[{'name': 'Shelby Charter Township, MI'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-a85a93,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Nurse Practitioner (NP / PA),his pay range represents the base hourly rate or base annual full,"ime salary for all positions in the job grade within which this position falls.  The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors.",UNKOWN,[],2024-03-17T12:36:11Z,13917818,"[{'name': 'San Antonio, TX'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/nurse-practitioner-np-pa-02dd78,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Electrician (Starship Test) - Level 4/5,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-02-05T23:06:09Z,13928126,"[{'name': 'Brownsville, TX'}]",[{'name': 'Computer and IT'}],senior,https://www.themuse.com/jobs/spacex/electrician-starship-test-level-45-0d849c,external,SpaceX,15000190,muse.com,2024-03-17 16:27:08
Shift Supervisor Trainee,16.00,19.50,$,[],2024-03-17T12:27:41Z,14148298,"[{'name': 'Chapel Hill, NC'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-3ba584,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Store Associate,15.00,19.00,$,[],2024-03-17T12:22:25Z,14327114,"[{'name': 'Midland, MI'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-c93605,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:50:31Z,12303256,"[{'name': 'Ocean Acres, NJ'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-42b759,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
CA Staff Pharmacist PT,65.00,78.00,$,[],2024-03-17T12:39:34Z,13718603,"[{'name': 'Galt, CA'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/ca-staff-pharmacist-pt-09f780,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Dispatching Operator,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-09T23:40:12Z,11321092,"[{'name': 'Buffalo Grove, IL'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/dispatching-operator,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Store Associate,15.00,19.00,$,[],2024-03-17T12:15:35Z,14393241,"[{'name': 'South Elgin, IL'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-600af4,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Store Associate,15.50,19.00,$,[],2024-03-17T12:42:27Z,13497266,"[{'name': 'Fair Oaks, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-7b7f48,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:22:28Z,14160247,"[{'name': 'Warren, OH'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-1754b2,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
