Company-ID,LinkedIn-Job-Link,Company-Name,Job-Title,Location,Job-Description,Apply-Link,Region,Job-Type,Job-Tags,Job-Category,Hours,Salary-Min,Salary-Max,id
1810,https://www.linkedin.com/jobs/view/strategic-account-executive-at-signifyd-3762391942,Signifyd,Strategic Account Executive,USA,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3762391942.html,https://www.linkedin.com/jobs/view/3762391942/,North America,"Remote,100% Salary, Four Days","eCommerce, SaaS, RiskManagement, SalesStrategy, BusinessAnalytics","Sales & Account Management, Business Development",32,160000,185000,3762391942
1759,https://www.linkedin.com/jobs/view/senior-or-staff-software-engineer-backend-python-usa-only-100%25-remote-at-close-3602557784,Close,Senior or Staff Software Engineer - Backend/Python,United States,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3602557784.html,https://www.linkedin.com/jobs/view/3602557784/,North America,"Remote, 100% Salary, Four Days","Python, MongoDB, PostgreSQL, Elasticsearch, AWS","Engineering, Data & Analytics",32,140000,200000,3602557784
3674,https://www.linkedin.com/jobs/view/client-services-manager-at-digible-inc-3760353629,"Digible, Inc",Client Services Manager,"Denver, CO",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3760353629.html,https://digible.com/why-digible/current-openings/?gh_jid=5022505004,North America,"Hybrid, 100% Salary, Four Days","SEO, PPC, Analytics, CRM, Account-Management","Marketing, Customer Support",32,75000,95000,3760353629
3678,https://ca.linkedin.com/jobs/view/staff-front-end-engineer-at-procurify-3768874380,Procurify,Staff Front End Engineer,"Vancouver, BC",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3768874380.html,https://boards.greenhouse.io/procurify/jobs/4340642005#app,North America,"Remote, Four Days, 100% Salary","React, Typescript, CSS, Python/Django, Kubernetes",Engineering,32,146000,218000,3768874380
4197,https://ph.linkedin.com/jobs/view/platform-engineer-sre-remote-philippines-at-shape-construction-3776710475,Shape Construction,Platform Engineer / SRE - Remote (Philippines),Philippines,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3776710475.html,https://www.linkedin.com/jobs/view/3776710475/,Asia,"Remote, 100% Salary, Four Days","Terraform, Observability, Cloud, Leadership, Communication",Engineering,32,,,3776710475
4727,https://www.linkedin.com/jobs/view/architectural-draftsperson-at-bsb-design-3768703232,BSB Design,BSB Design,"Philadelphia, PA",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3768703232.html,https://www.linkedin.com/jobs/view/3768703232/,North America,"On-site, Four Days, 100% Salary","AutoCAD, Revit, Drafting, Architecture, ConstructionDocuments","Architecture, Design",32,,,3768703232
4727,https://www.linkedin.com/jobs/view/architectural-commercial-technical-draftsperson-at-bsb-design-3768703241,BSB Design,Architectural Commercial Technical Draftsperson,"Los Angeles, CA",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3768703241.html,https://www.linkedin.com/jobs/view/3768703241/,North America,"On-site, Four Days, 100% Salary","Revit, BIM, Bluebeam, SketchUp, Photoshop","Architecture, Engineering",32,,,3768703241
4727,https://www.linkedin.com/jobs/view/architectural-job-captain-at-bsb-design-3768098527,BSB Design,Architectural Job Captain,"Sacramento, CA",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3768098527.html,https://www.linkedin.com/jobs/view/3768098527/,North America,"On-site, Four Days, 100% Salary","AutoCAD, 3D-Modeling, Bluebeam, Leadership, Architecture","Architecture, Engineering",32,,,3768098527
4727,https://www.linkedin.com/jobs/view/architectural-residential-job-captain-at-bsb-design-3768703229,BSB Design,Architectural Residential Job Captain,"Irvine, CA",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3768703229.html,https://www.linkedin.com/jobs/view/3768703229/,North America,"On-site, Four Days, 100% Salary","AutoCAD, 3D-Modeling, Bluebeam, MicrosoftOffice, Leadership","Architecture, Design",32,,,3768703229
4727,https://www.linkedin.com/jobs/view/architectural-residential-job-captain-at-bsb-design-3768097848,BSB Design,Architectural Residential Job Captain,"Chicago, IL",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3768097848.html,https://www.linkedin.com/jobs/view/3768097848/,North America,"On-site, Four Days, 100% Salary","AutoCAD, 3D-Modeling, Bluebeam, Microsoft-Office, Leadership","Architecture, Design",32,,,3768097848
4727,https://www.linkedin.com/jobs/view/architectural-residential-project-manager-at-bsb-design-3513224855,BSB Design,Architectural Residential Project Manager,Los Angeles Metropolitan Area,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3513224855.html,https://www.linkedin.com/jobs/view/3513224855/,North America,"On-site, Four Days, 100% Salary","Revit, BIM, Bluebeam, Type-V, Type-III","Architecture, Project Management",32,,,3513224855
3291,https://nz.linkedin.com/jobs/view/seo-content-writer-at-pearl-lemon-group-3778265939,Pearl Lemon Group,SEO Content Writer,New Zealand,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3778265939.html,https://www.linkedin.com/jobs/view/3778265939/,Australia-Oceania,"Remote, 100% Salary, Four Days","SEO, WordPress, Content-Writing, Digital-Marketing, People-Management","Marketing, Writing",32,,,3778265939
3291,https://nz.linkedin.com/jobs/view/head-of-accounting-at-pearl-lemon-group-3778268776,Pearl Lemon Group,Head of Accounting,New Zealand,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3778268776.html,https://www.linkedin.com/jobs/view/3778268776/,Australia-Oceania,"Remote, 100% Salary, Four Days","Bookkeeping, MS-Office, Financial-Reporting, Analytical-Skills, Time-Management","Accounting & Finance, Administration & Facilities",32,,,3778268776
3291,https://nz.linkedin.com/jobs/view/seo-expert-at-pearl-lemon-group-3778266949,Pearl Lemon Group,SEO Expert,New Zealand,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3778266949.html,https://www.linkedin.com/jobs/view/3778266949/,Australia-Oceania,"Remote, 100% Salary, Four Days","SEO, Google Analytics, HTML, Link Building, Keyword Research",Marketing,32,,,3778266949
3297,https://at.linkedin.com/jobs/view/senior-product-owner-manager-at-tractive-3767955194,Tractive,Senior Product Owner/Manager,"Linz, Upper Austria, Austria",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3767955194.html,https://tractive.com/en/jd/senior-product-owner-manager,Europe,"Hybrid, 100% Salary, Four Days","Product Management, Software Development, Data Analysis, Digital Products, Agile Methodology","Product, Project Management",35,,,3767955194
3297,https://at.linkedin.com/jobs/view/search-engine-optimization-specialist-at-tractive-3779153515,Tractive,Search Engine Optimization Specialist,"Linz, Upper Austria, Austria",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3779153515.html,https://tractive.com/en/jd/seo-specialist,Europe,"Hybrid, 100% Salary, Four Days","SEO, Ahrefs, HTML, CSS, ASO","Internet & Ecommerce, Marketing",35,,,3779153515
3297,https://at.linkedin.com/jobs/view/embedded-firmware-engineer-at-tractive-3784801307,Tractive,Embedded Firmware Engineer,"Linz, Upper Austria, Austria",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3784801307.html,https://tractive.com/en/jd/embedded-firmware-engineer,Europe,"Hybrid, 100% Salary, Four Days","C, Embedded, Firmware, SCRUM, BLE",Engineering,35,,,3784801307
2577,https://uk.linkedin.com/jobs/view/junior-data-engineer-at-atom-bank-3790819042,Atom bank,Junior Data Engineer,"Framwellgate Moor, England, United Kingdom",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3790819042.html,https://www.atombank.co.uk/careers/insight-and-intelligence/junior-data-science-engineer/,Europe,"Hybrid, Remote, Four Days","SQL, ETL, Python, Kafka, BigQuery","Data & Analytics, Engineering",,,,3790819042
2577,https://uk.linkedin.com/jobs/view/catalogue-data-analyst-at-atom-bank-3791431753,Atom bank,Catalogue Data Analyst,"Framwellgate Moor, England, United Kingdom",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3791431753.html,https://www.atombank.co.uk/careers/insight-and-intelligence/data-catalogue-analyst/,Europe,"Hybrid, Remote, Four Days","SQL, DataGovernance, DataWarehousing, MetadataManagement, DataQuality",Data & Analytics,,,,3791431753
2577,https://uk.linkedin.com/jobs/view/interim-financial-planning-manager-at-atom-bank-3779510465,Atom bank,Interim Financial Planning Manager,"Framwellgate Moor, England, United Kingdom",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3779510465.html,https://www.atombank.co.uk/careers/finance/interim-financial-planning-manager/,Europe,"Hybrid, 100% Salary, Four Days","FP&A, Excel, FinancialServices, ACA/ACCA/CIMA, StressTesting","Accounting & Finance, Data & Analytics",,,,3779510465
1997,https://ee.linkedin.com/jobs/view/paid-marketing-manager-at-scoro-3786443845,Scoro,Paid Marketing Manager,"Tallinn, Harjumaa, Estonia",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3786443845.html,https://www.scoro.com/careers/paid-marketing-manager,Europe,"Hybrid, Four Days, 100% Salary","GoogleAds, LinkedIn, Retargeting, Analytics, ABM","Marketing, Project Management",,,,3786443845
1832,https://www.linkedin.com/jobs/view/manager-customer-retention-on-site-salt-lake-city-ut-at-pdq-3772683556,PDQ,Manager - Customer Retention,"South Salt Lake, UT",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3772683556.html,https://jobs.lever.co/PDQ/c3d401c4-e9c8-49af-a1a4-ead6ab08738f,North America,"On-site, 100% Salary, Four Days","CRM, Salesforce, SaaS, Microsoft Office, Churn Management","Sales & Account Management, Customer Support",,,,3772683556
1810,https://mx.linkedin.com/jobs/view/data-scientist-latam-at-signifyd-3795251305,Signifyd,Data Scientist - LATAM,"Mexico City, Mexico",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3795251305.html,https://boards.greenhouse.io/signifyd95/jobs/5589930,North America,"Hybrid, 100% Salary, Four Days","Python, Java, SQL, Machine Learning, Data Analysis","Data & Analytics, Engineering",,,,3795251305
1810,https://br.linkedin.com/jobs/view/data-scientist-latam-at-signifyd-3795248714,Signifyd,Data Scientist - LATAM,"São Paulo, São Paulo, Brazil",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3795248714.html,https://boards.greenhouse.io/signifyd95/jobs/5589930,South America,"Hybrid, 100% Salary, Four Days","Python, Java, SQL, Machine Learning, Data Analysis","Data & Analytics, Engineering",,,,3795248714
1810,https://www.linkedin.com/jobs/view/strategic-account-executive-at-signifyd-3793115676,Signifyd,Strategic Account Executive,NAMER,/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3793115676.html,https://boards.greenhouse.io/signifyd95/jobs/5488281,North America,"Remote, 100% Salary, Four Days","eCommerce, SaaS, RiskManagement, SalesStrategy, BusinessAnalytics","Sales & Account Management, Business Development",,160000,185000,3793115676
1810,https://uk.linkedin.com/jobs/view/growth-marketing-manager-at-signifyd-3782386304,Signifyd,Growth Marketing Manager,"London, England, United Kingdom",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3782386304.html,https://boards.greenhouse.io/signifyd95/jobs/5542457,Europe,"Hybrid, Four Days, 100% Salary","Google Analytics, Salesforce, Marketo, ABM, SEM","Marketing, Business Development",,,,3782386304
1810,https://br.linkedin.com/jobs/view/senior-frontend-engineer-brazil-at-signifyd-3786579657,Signifyd,Senior Frontend Engineer (Brazil),"São Paulo, São Paulo, Brazil",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3786579657.html,https://boards.greenhouse.io/signifyd95/jobs/5555840,South America,"Remote, 100% Salary, Four Days","React, TypeScript, Webpack, Jest, Git",Engineering,,,,3786579657
1810,https://br.linkedin.com/jobs/view/senior-cloud-security-engineer-at-signifyd-3780801655,Signifyd,Senior Cloud Security Engineer,"São Paulo, São Paulo, Brazil",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3780801655.html,https://boards.greenhouse.io/signifyd95/jobs/5547522,South America,"Hybrid, 100% Salary, Four Days","AWS, GCP, Terraform, SIEM, Kubernetes","Security, Engineering",,,,3780801655
1810,https://mx.linkedin.com/jobs/view/senior-cloud-security-engineer-at-signifyd-3791800008,Signifyd,Senior Cloud Security Engineer,"Mexico City, Mexico",/home/ubuntu/project/feb24_project_job-market/data/processed/okjob.io/full_job_description/okjob_jobdesc_id=3791800008.html,https://boards.greenhouse.io/signifyd95/jobs/5586716,North America,"Hybrid, 100% Salary, Four Days","AWS, GCP, Terraform, SIEM, Kubernetes","Security, Engineering",,,,3791800008
