jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl
52330899,320826,Brite Recruitment Ltd,,,Vascular Sales Specialist ,South West England,50000.0,50000.0,GBP,30/04/2024,18/03/2024,"VASCULAR SALES SPECIALIST SOUTH/SOUTHWEST Up to 50,000 30% Bonus CA Our global client, who manufactures medical devices, are looking for a Vascular Sales Specialist to join their team. You will be responsible for proactively driving sales, winning new business, meeting KPIs, preparing for new products and developing KOLs, protocols and guidelines. This role involves travelling across the southwest of the country, hunting for new business leads, ... ",0,https://www.reed.co.uk/jobs/vascular-sales-specialist/52330899
52330900,678280,Engage 2,,,Alternative Provision Behaviour Mentor,HX20AL,80.0,100.0,GBP,30/04/2024,18/03/2024,"Youth Engagement Mentor Engage Education are looking for a caring and dedicated Youth Engagement Mentor in Halifax. This position is at a specialist school providing excellent teaching for young people aged 11 to 16, who have a range of Social, Emotional and Mental Health (SEMH) needs. The school offers a variety of enriching educational opportunities for pupils including academic, functional and vocational skills. You will connect directly with... ",0,https://www.reed.co.uk/jobs/alternative-provision-behaviour-mentor/52330900
52330898,656243,EdEx - Education Recruitment,,,English Teacher / English ECT,Bexley,36745.0,56959.0,GBP,18/04/2024,18/03/2024,"English Teacher / English ECT An 'Outstanding' Secondary School in Bexley, SE London are on the hunt for an English Teacher / English ECT for a September 2024 start. This is a permanent, and full-time contract. The Head Teacher is looking for an ambitious English Teacher / English ECT who is keen to add value to an expanding English Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects... ",0,https://www.reed.co.uk/jobs/english-teacher-english-ect/52330898
52330897,464957,Challenge-trg Recruitment,,,Warehouse Operative,Worksop,11.86,14.83,GBP,30/04/2024,18/03/2024,"Challenge-trg Recruitment has an exciting opportunity for you to get started immediately as a Warehouse Operative in Worksop, S80 2RZ. Pay rate as a Warehouse Operative: Days: 11.86 p/h | Nights: 14.83p/h Your role as a Warehouse Operative: Picking items using LLOP trucks or handheld scanners, may also include loading/unloading Fully training is provided but previous experience is preferred **Must PASS drug and alcohol test on site and have a go... ",0,https://www.reed.co.uk/jobs/warehouse-operative/52330897
52330896,85768,Additional Resources Ltd,,,Architectural Technologist / Senior Architectural Technologist,London,40000.0,55000.0,GBP,30/04/2024,18/03/2024,"Architectural Technologist / Senior Architectural Technologist Location: London (Hybrid) Salary: 40K - 55K Excellent Benefits The Client: Our client is a well-established architectural consultancy, renowned for their commitment to quality, innovation, and diversity. The Role: As an Architectural Technologist , you'll provide daily support in utilising Revit and AutoCAD software while also offering technical expertise to facilitate project delive... ",0,https://www.reed.co.uk/jobs/architectural-technologist-senior-architectural-technologist/52330896
52299548,575264,Reed,,,Children Residential Support Worker,M111HN,11.6,12.5,GBP,19/04/2024,12/03/2024,"Are you passionate about making a difference in the lives of children in residential homes with disabilities? Do you hold a level 3 or higher and looking for a new challenge? If so, we have an exciting opportunity for you! Reed is proud to be working in conjunction with one of the leading companies in children residential services across the Northwest and looking to expand their team in Liverpool that supports children with various social and ph... ",6,https://www.reed.co.uk/jobs/children-residential-support-worker/52299548
52194114,632980,Red Chilli Recruitment Ltd,,,Property Manager - Commercial stakeholder project,M31EJ,,,,08/04/2024,25/02/2024,"Commercial Stakeholder Property Manager Manchester 24 month fixed contract Excellent salary benefits 9am - 5.30pm Monday to Friday Elevate your career amidst the luxury of a prestigious development of 391 residential homes in Manchester who are seeking a Commercial Stakeholder Property Manager. The role is a 24-month fixed-term contract , part of an external façade project. The ideal candidate will have a commercial background, possibly as a bui... ",22,https://www.reed.co.uk/jobs/property-manager-commercial-stakeholder-project/52194114
52186874,351367,Tiger Recruitment,,,"Live-in Cook, Hale, Manchester",W1G0EF,40000.0,45000.0,GBP,16/04/2024,23/02/2024,"Tiger Private are looking for a live-in Female Indian Cook, with experience in cooking both Indian and European cuisine. The Cook is required to support a busy UHNW family, consisting of the Principals and their teenage sons. The Cook will be required to prepare Breakfast, Lunch &amp; Dinner for the family. On occasion, the Cook may also be required to assist with light-housekeeping duties such as laundry. The family like to entertain on occasio... ",6,https://www.reed.co.uk/jobs/live-in-cook-hale-manchester/52186874
52330894,334716,THRIVE GROUP LTD,,,Production Operative,Bradford,11.42,11.44,GBP,25/03/2024,18/03/2024,The Thrive Group is currently looking to recruit a number of Production Operatives to work in a fast paced production environment. The role is a on going long term temporary position with the opportunity to go permanent for high calibre workers. Shifts - 6-2/2-10pm/10pm-6am (Rotating) - You must be able to work all 3 shifts. Pay 11.44 p/h for a shifts for 1st 12 weeks (overtime available) Location - Bradford The Candidate: Experience working in ... ,0,https://www.reed.co.uk/jobs/production-operative/52330894
52330893,678280,Engage 2,,,Youth Engagement Mentor,LS90AQ,80.0,100.0,GBP,30/04/2024,18/03/2024,"Youth Engagement Mentor Engage Education are looking for a caring and dedicated Youth Engagement Mentor in Leeds. This position is at a specialist school providing excellent teaching for young people aged 11 to 16, who have a range of Social, Emotional and Mental Health (SEMH) needs. The school offers a variety of enriching educational opportunities for pupils including academic, functional and vocational skills. You will connect directly with y... ",0,https://www.reed.co.uk/jobs/youth-engagement-mentor/52330893
