employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
393514,Pro Talent,,,Tax Senior,Milton Keynes,25000.0,35000.0,GBP,08/05/2024,07/06/2023,"ProTalent are currently working with a well-established accountancy firm in Milton Keynes to recruit a Tax Senior. The firm: Well-established accountancy firm with a friendly office in Milton Keynes Provide a full range of accountancy services to a wide range of clients Friendly working environment Offering flexibility in terms of working hours, smart working etc The Tax Senior role: Ensuring that Personal Tax Returns are completed accurately an... ",3,https://www.reed.co.uk/jobs/tax-senior/50572691,50572691
393514,Pro Talent,,,Client Manager,Rugby,40000.0,45000.0,GBP,08/05/2024,07/06/2023,"Client Manager ProTalent are currently working with a n exciting boutique accountancy practice in Rugby to recruit a new Client Manager. The firm: Exciting and fast-growing boutique accountancy firm in Rugby Diverse and loyal client base Expert team who work hard to provide exceptional standards Strong focus on client service The Client Manager role: As a Client Manager, you will look after your own portfolio of clients, with support from Junior... ",13,https://www.reed.co.uk/jobs/client-manager/50572708,50572708
393514,Pro Talent,,,Personal Tax Semi Senior,Newbury,28000.0,32000.0,GBP,08/05/2024,07/06/2023,"Are you ready to ignite your career and soar to new heights? Our client, a leading company in Newbury, is seeking a dynamic and ambitious individual to join their team as a Personal Tax Semi Senior. Say goodbye to mundane tasks and hello to an exhilarating challenge that will push your limits and reward your dedication! In this role, you'll have the chance to seize the reins and take charge of more complex and stimulating work. Our client&nbsp;b... ",4,https://www.reed.co.uk/jobs/personal-tax-semi-senior/50572720,50572720
393514,Pro Talent,,,Accounts Semi Senior,Newbury,23000.0,25000.0,GBP,08/05/2024,07/06/2023,"Accounts Semi-Senior ProTalent are currently working with a successful, modern and fast-growing accountancy practice in Newbury to recruit a new Accounts Semi-Senior. The firm: Well known and well-respected accountancy firm Offer a broad range of accounting and business advisory services Forward thinking and embrace technology Great working environment The Accounts Semi-Senior role: As an Accounts Semi-Senior, you will be expected to prepare fin... ",8,https://www.reed.co.uk/jobs/accounts-semi-senior/50572727,50572727
393514,Pro Talent,,,Accounts Trainee,Newbury,20000.0,25000.0,GBP,08/05/2024,07/06/2023,"ProTalent are currently working with an independent boutique accountancy practice based in Newbury&nbsp;looking to recruit an Accounts Trainee. The firm: An independent boutique accountancy practice, with ambitious growth plans. Friendly and supportive team culture built around values of collaboration, respect, innovation and expertise. Diverse clients that range from private clients to owner-managed businesses and large international groups. Th... ",50,https://www.reed.co.uk/jobs/accounts-trainee/50572731,50572731
393514,Pro Talent,,,Practice Accountant,Milton Keynes,30000.0,35000.0,GBP,08/05/2024,07/06/2023,"Hey there, number-crunchers! Are you tired of dull, mundane accounting work that makes you want to pull your hair out? Then listen up, because we have an exciting opportunity for you! Are you an AAT qualified accountant looking for an exciting opportunity? Our client is currently seeking a skilled and motivated AAT-qualified&nbsp;Practice Accountant&nbsp;to join their team and provide high-quality accounting services to their clients. In this ro... ",26,https://www.reed.co.uk/jobs/practice-accountant/50572738,50572738
393514,Pro Talent,,,Audit & Accounts Senior,Brackley,33000.0,36000.0,GBP,08/05/2024,07/06/2023,Audit &amp; Accounts Senior ProTalent are currently working with one of Brackley’s leading accountancy firms to recruit a new Audit &amp; Accounts Senior to join their successful team. The firm: Leading independent accountancy firm Enjoying consistent growth and increasing market share Impressive client base from a wide range of industries Great team of experts all working together to achieve great things The Audit &amp; Accounts Senior role: Ac... ,3,https://www.reed.co.uk/jobs/audit-accounts-senior/50572771,50572771
393514,Pro Talent,,,Audit & Accounts Senior,Brackley,37000.0,42000.0,GBP,08/05/2024,07/06/2023,Audit &amp; Accounts Senior ProTalent are currently working with one of Brackley’s leading accountancy firms to recruit a new Audit &amp; Accounts Senior to join their successful team. The firm: Leading independent accountancy firm Enjoying consistent growth and increasing market share Impressive client base from a wide range of industries Great team of experts all working together to achieve great things The Audit &amp; Accounts Senior role: Ac... ,1,https://www.reed.co.uk/jobs/audit-accounts-senior/50572780,50572780
427940,Tradewind Recruitment,,,Primary teacher,Sheffield,,,,08/05/2024,26/03/2024,Exciting Primary Teacher Opportunity in Sheffield! Are you a dedicated and enthusiastic Primary Teacher looking for a new challenge? Tradewind Recruitment have the perfect opportunity for you to showcase your skills and make a lasting impact on young minds in Sheffield! Position: Primary Teacher Location: Sheffield Start Date: May 2024 Why Join? Dynamic School Environment: Join a vibrant and welcoming school community committed to providing an e... ,0,https://www.reed.co.uk/jobs/primary-teacher/52378815,52378815
472689,Page Personnel Finance,,,Finance Manager,Crewe,40000.0,50000.0,GBP,10/04/2024,26/03/2024,"Opportunity for a part-qualified or QBE Finance Manager to join a well known business based in Crewe. This role will offer a salary up to 50,000 depending on experience. Client Details Page Personnel are working with an extremely successful and continuously growing business looking for a Finance Manager to join the team at a really exciting time for the company. Description Finance Manager responsibilities include: Responsible for the management... ",0,https://www.reed.co.uk/jobs/finance-manager/52378814,52378814
509989,Distinct Recruitment,,,Finance Business Partner - hybrid working,NG185BU,45000.0,55000.0,GBP,08/05/2024,26/03/2024,"Finance Business Partner - hybrid working, 4 days on-site&nbsp; 45,000 - 55,000 plus 20% bonus and strong benefits. Mansfield, Nottingham&nbsp; A Private Equity-backed business based in Mansfield Nottingham is looking to add a Finance Business Partner to their finance team in this newly created role.&nbsp; This business has had impressive growth during the last 4 years, it is profitable and cash-rich.&nbsp; They have grown through acquisition an... ",0,https://www.reed.co.uk/jobs/finance-business-partner-hybrid-working/52378813,52378813
402085,Surrey County Council,,,Employment Lawyer,RH28EF,50047.0,55125.0,GBP,10/04/2024,26/03/2024,"The starting salary for this role is 50,047 - 55,125 per annum depending on experience. This salary is based on a 36-hour working week, but we will consider applications from candidates looking for part time or flexible hours (subject to a minimum commitment of 28 hours per week). The Council adopts an agile working policy with flexible working arrangements which include access to our offices in Reigate, Leatherhead and Weybridge combined with r... ",0,https://www.reed.co.uk/jobs/employment-lawyer/52378812,52378812
