employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
419928,Anderson Recruitment Ltd,None,None,HR Advisor,GL52BY,35000.0,35000.0,GBP,08/05/2024,26/03/2024,"Our fantastic client based locally in South Gloucestershire is looking for an experienced HR professional to join their team on an ongoing, temporary basis with the opportunity of going permanent for the right candidate. Responsibilities will include employee relations and engagement, sickness, disciplinary and grievance management, staff performance, learning and development, employee lifecycle from new starters to leavers, recruitment, and gen...",0,https://www.reed.co.uk/jobs/hr-advisor/52379461,52379461
301991,Allerton Park Recruitment Solutions,None,None,Mortgage and Protection Broker - Employed with Clients Provided,EC2M6UR,30000.0,80000.0,GBP,08/05/2024,26/03/2024,"Our client, a progressive and growing independent Mortgage Broking firm, is looking for an experienced Mortgage and Protection Broker to join the London team. You will be provided with around 30 potential client appointments each month, all pre-booked into your diary directly by the clients themselves, so that they can discuss their Mortgage needs with an expert. Clients tend to be employed, working in London City based roles and it is expected ...",0,https://www.reed.co.uk/jobs/mortgage-and-protection-broker-employed-with-clients-provided/52379460,52379460
367076,Grassroots Recruitment Limited,None,None,Service Engineer Electronics bias,Northampton,42000.0,50000.0,GBP,24/04/2024,26/03/2024,"Our client, a specialist engineering business, is looking for a service engineer as part of their ongoing growth. They are looking for someone who can be mobile in an area covering Birmingham to London and Oxford to Cambridge primarily, with a fully equipped van provided. Any outlying appointments which could require an overnight stay will be fully expensed. The role will involve planned and reactive servicing, maintenance and calibration of the...",0,https://www.reed.co.uk/jobs/service-engineer-electronics-bias/52379459,52379459
617218,Poundland,None,None,Assistant Store Manager,G50TG,None,None,None,30/04/2024,26/03/2024,"Assistant Store Manager Opportunity: Lead, inspire, and excel – creating amazing value everyday! As an Assistant Store Manager, you are the vital link between the Store Manager and the store team. You're assuming a pivotal role in shaping the experiences of both your team and the customers' journey within the community you serve. Your day-to-day actions drive sales and allow you to use your creative flair when merchandising on and off plan to sh...",0,https://www.reed.co.uk/jobs/assistant-store-manager/52379458,52379458
575264,Reed,None,None,Purchasing Administrator,RG194QH,24000.0,24000.0,GBP,27/04/2024,26/03/2024,"We are looking for a friendly and enthusiastic Purchasing and Customer Service Administrator to join our team. This role is ideal for someone with a great personality, excellent communication skills, and the ability to work independently. While 2-3 years of administration, purchasing, or customer service experience is beneficial, we provide full training. Proficiency in MS Office, including SharePoint, Word, Excel, and ERP systems, is required. ...",0,https://www.reed.co.uk/jobs/purchasing-administrator/52379456,52379456
106910,SF Recruitment,None,None,Sales Ledger Assistant,Kingswinford,25000.0,27000.0,GBP,08/05/2024,26/03/2024,"Sales Ledger Administrator required for a new and exciting permanent opportunity working for a well established business based in Kingswinford. You will be working as part of a newly created team and be responsible for raising sales invoices, allocating cash, raising credit/debit notes, resolving customer queries, assisting with credit control and month end reporting. This is an excellent opportunity for an experienced administrator with strong ...",0,https://www.reed.co.uk/jobs/sales-ledger-assistant/52379457,52379457
524744,Hays Specialist Recruitment Limited,None,None,Site Manager,Isle of Wight,40000.0,65000.0,GBP,08/05/2024,26/03/2024,"We are looking for a Site Manager / Assistant Site Manager, SMSTS Qualified supervisor, to run the site for 2 weeks starting on the 2nd of April. This job is in Sandown, Isle of Wight, and we will be expected to have our own transport on site. Your new role In your new role, you will be ensuring that projects are being delivered to the correct specification and standard. Managing the team on site, carrying out site inductions, and doing quality ...",0,https://www.reed.co.uk/jobs/site-manager/52379454,52379454
412685,Nigel Frank International,None,None,Support Analyst - Dynamics CRM/ D365 CE,Warwickshire,35000.0,40000.0,GBP,08/05/2024,26/03/2024,"MS Dynamics 365 Support Consultant I am recruiting on behalf of an expansive, innovative UK Microsoft Partner, as they look to add to their specialist support team with a Dynamics 365 support consultant. The role will involve supporting my clients diverse customer base within an enthusiastic, progressive team environment, where no 2 days are the same. This challenging opportunity provides a great platform to build on prior experience in D365/ Dy...",0,https://www.reed.co.uk/jobs/support-analyst-dynamics-crm-d365-ce/52379455,52379455
540317,Kingdom People,None,None,Production Operatives,M242HZ,11.72,14.06,GBP,08/05/2024,26/03/2024,"Job description Work starting after Easter About Us We are recruiting for Manufacturing Operatives to work for a well-established Mat manufacturer based in Middleton Manchester. Job Location: Middleton, Manchester Temp to Perm work available We also offer temporary contracts Working Hours: Rotating Shifts Monday to Friday 06:00-14:00 ( 11.72 per hour) 14:00-22:00 (5.5 hours at day rate, 2 hours paid at night rate) 22:00-06:00 ( 14.06 per hour) *...",0,https://www.reed.co.uk/jobs/production-operatives/52379453,52379453
620739,Clarify Consultancy Ltd,None,None,National Account Executive - Legal Software Division (Hybrid Working),Manchester,35000.0,50000.0,GBP,08/05/2024,26/03/2024,"Due to continuing expansion our client, an international technology company is actively seeking an experienced, dedicated, and ambitious National Account Executive to ensure client satisfaction, promote new services, nurture healthy and lasting relationships between the company and clients. Reporting directly to the Sales Manager, responsibilities will include. Manage a portfolio of new and existing clients and build strong and positive relation...",0,https://www.reed.co.uk/jobs/national-account-executive-legal-software-division-hybrid-working/52379452,52379452
610996,PRINCEWOOD RECRUITMENT LTD,None,None,Area Sales Engineer,London,50000.0,60000.0,GBP,08/05/2024,26/03/2024,"An excellent opportunity has arisen within the C&amp;I Business Unit for a proactive individual to join the Southern sales team as a Sales Engineer reporting to the C&amp;I Southern Area Sales Manager. Responsibilities for the role include: Achieve overall sales target - selling standard and bespoke ranges in line with specifications Generation of sales leads and managing the process from initial enquiry to order placement, including final negot...",0,https://www.reed.co.uk/jobs/area-sales-engineer/52379451,52379451
