employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
578906,City & Capital ,,,Business Finance Broker,CH11DA,25000.0,32500.0,GBP,30/04/2024,18/03/2024,City &amp; Capital are currently representing a fast growing &amp; highly respected business finance advisory &amp; loan brokerage who are achieving outstanding growth. This growth is being driven by market reputation &amp; the increased borrowing requirements of SME and corporate businesses in the sector. Due to this our client is embarking on a large recruitment drive across their key UK regions to appoint confident &amp; ambitious business &a... ,0,https://www.reed.co.uk/jobs/business-finance-broker/52331383,52331383
110799,Time Recruitment,,,Contract Manager,Birmingham,60000.0,70000.0,GBP,30/04/2024,18/03/2024,"Contracts Manager Role 60,000- 70,000 Car Allowance Company Benefits Job Type: Full Time Industry: Construction Sector: Healthcare, Education, Public Sector Project Type: Fit Out &amp; New Build Job values: 500K- 7M I am representing a construction main contractor based in the Midlands, who are looking to appoint a full time Contract Manager. The company turnover around 100M within the business and are looking to appoint a candidate due to busin... ",0,https://www.reed.co.uk/jobs/contract-manager/52331381,52331381
402372,Anglian Water,,,Asset Technician,Bedford,30325.0,37215.0,GBP,16/04/2024,18/03/2024,"30,325 - 37,215 Depending on skills and experience Business use of company van Clapham Water Treatment Works?? You will be working within the Anglian Water region covering areas around Bedford, Milton Keynes, Buckinghamshire &amp; Northamptonshire Permanent, 37 hours per week?? Are you looking for an exciting and rewarding career, at a company committed to investing in your training and development????? Join us for the opportunity to gain valuab... ",0,https://www.reed.co.uk/jobs/asset-technician/52331382,52331382
638189,The Huntsmith Limited,,,Delivery Driver - Courier - Cambridge - Must Own Vehicle - Global Technology Partner,CB12JW,24000.0,28000.0,GBP,30/04/2024,18/03/2024,"My client based in Cambridge have an urgent requirement for a delivery driver/courier - This position will require picking up, delivering and assembling office chairs. Fundamental Responsibilities: - - Weekend work 1 in 4 - Delivering parts and assembling office chairs - Monday-Friday role - core working hours are 09:00-17:00 - Any experience as a courier/delivery driver is desired but not essential - There is an opportunity to gain IT certifica... ",0,https://www.reed.co.uk/jobs/delivery-driver-courier-cambridge-must-own-vehicle-global-technology-partner/52331379,52331379
418346,SANZA Teaching Agency,,,CACHE Level 3 Early Years Specialist,Enfield,85.0,95.0,GBP,30/04/2024,18/03/2024,"Position: CACHE Level 3 Early Years Specialist Location: Enfield, London Term: Full-time, Long-term Supply (Easter to July, with possibility of extension) Are you a dedicated and experienced CACHE Level 3 Early Years Specialist with a passion for nurturing the development of two-year-olds? Look no further! We have a fantastic opportunity available at a delightful primary school in Enfield, where you'll be working full-time within our vibrant two... ",0,https://www.reed.co.uk/jobs/cache-level-3-early-years-specialist/52331380,52331380
636519,Ad Warrior,,,Lifeline Customer Service Centre Advisor,Boston,,,,16/04/2024,18/03/2024,"Lifeline Customer Service Centre Advisor Location: Boston, Lincolnshire Salary: 12,830 per annum Hours: Part Time LHP’s Customer Service Centre is expanding the Boston Lifeline Team to cover a larger geographical area and as such, are seeking to recruit&nbsp;2 x Part Time Lifeline Customer Service Centre Advisors. You will receive an excellent salary of 12, 830 (including a shift allowance)&nbsp;plus some great benefits for an&nbsp;18.5 hours pe... ",0,https://www.reed.co.uk/jobs/lifeline-customer-service-centre-advisor/52331378,52331378
383545,Astral Recruitment,,,Car Mechanic/Motor Technician urgent,Pulborough,28000.0,35000.0,GBP,30/04/2024,18/03/2024,"Our client is a successful and well established independent Motor vehicle repair and maintenance business and they are currently in urgent need of a qualified mechanic to join the team This is a Mon-Fri role We are looking for someone experienced only with the Level 3 qualification The business has been established for over 20 years in the local area and specialise in most low to mid range cars They deal with servicing , repairs and diagnostics ... ",0,https://www.reed.co.uk/jobs/car-mechanic-motor-technician-urgent/52331376,52331376
578906,City & Capital ,,,Business Finance Broker,M11AD,25000.0,32500.0,GBP,30/04/2024,18/03/2024,City &amp; Capital are currently representing a fast growing &amp; highly respected business finance advisory &amp; loan brokerage who are achieving outstanding growth. This growth is being driven by market reputation &amp; the increased borrowing requirements of SME and corporate businesses in the sector. Due to this our client is embarking on a large recruitment drive across their key UK regions to appoint confident &amp; ambitious business &a... ,0,https://www.reed.co.uk/jobs/business-finance-broker/52331375,52331375
519627,Hawk 3 Talent Solutions,,,Buying Assistant,LS110BT,25000.0,25000.0,GBP,30/04/2024,18/03/2024,"Buying Assistant Contract (9-12month) Leeds 25,000 &nbsp; Working Hours: Monday – Friday (flexi working) &nbsp; Our Reputable fashion client are currently looking for a Buying assistant to join the company on a Fixed Term Basis (Maternity cover) for around 9-12months! &nbsp; Main Responsibilities of the Buying Assistant &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Provide administration support to the Footwear and Accessories Buyer Collation of reports and sa... ",0,https://www.reed.co.uk/jobs/buying-assistant/52331374,52331374
420285,"Mosaic Recruitment Ltd.,",,,Accounts Assistant,SG138PQ,30000.0,33000.0,GBP,30/04/2024,18/03/2024,"Accounts Assistant 3 Month Temporary role - possibility to go permanent after this period. Hertfordshire, United Kingdom Hybrid role (3 days in the office) 33,000 per annum / 16.93 per hour Monday - Friday, 37.5 hours Mosaic Recruitment is actively seeking a dedicated Accounts Assistant to join the team and play a pivotal role in ensuring the efficient operation of our clients finance function. Job Summary Reporting to the Financial Accountant, ... ",0,https://www.reed.co.uk/jobs/accounts-assistant/52331372,52331372
639639,Thendon Resourcing LTD,,,SEO Account Manager ,ST150AL,28000.0,36000.0,GBP,30/04/2024,18/03/2024,"If you're an experienced SEO Account Manager / SEO Executive looking for a company that offer great salaries and benefits, hybrid and flexible working, a dynamic and collaborative environment, great skill development and professional growth opportunities for you to enhance your career, then we’d love to hear from you… We’re looking for a SEO Account Manager to join an award-winning Digital Marketing Agency that go the extra milefor their colleag... ",0,https://www.reed.co.uk/jobs/seo-account-manager/52331373,52331373
390934,Jonathan Lee Recruitment,,,Mechanical Design Engineer,B248HW,,,,30/04/2024,18/03/2024,Senior Mechanical Design Engineer Birmingham I am seeking a Senior Mechanical Design Engineer for an established automotive engineering company. This is a contract role outside IR35. They are part of a growing successful business operating in the supply of automotive components for a range of commercial engines. They provide design and development services for other sister companies within the engine products division being a global supplier/mar... ,0,https://www.reed.co.uk/jobs/mechanical-design-engineer/52331371,52331371
134670,Penguin Recruitment Ltd,,,Asbestos Bulk Analyst,CM12TS,24000.0,26000.0,GBP,30/04/2024,18/03/2024,"Asbestos Bulk Analyst - West of Essex, London 24,000 - 26,000 including Benefits A new opportunity has arisen within a market leading Environmental Testing Laboratory, who are UKAS accredited and deliver high quality and efficient asbestos and environmental testing services to clients in both the public and private sectors. To be considered, all applicants must possess the BOHS P401/RSPH3 qualification with ideally 6 months experience as an asbe... ",0,https://www.reed.co.uk/jobs/asbestos-bulk-analyst/52331370,52331370
575264,Reed,,,Supply Chain Coordinator,GU215BJ,16.0,22.0,GBP,19/04/2024,18/03/2024,A temporary opportunity for a proactive individual to provide supply chain support within a successful international business. This role offers an excellent working environment with free onsite parking and the flexibility of hybrid / remote&nbsp;working options. The successful candidate will play a crucial role in maintaining efficient supply chain operations and ensuring smooth delivery processes. Day-to-day of the role: Collaborate closely wit... ,0,https://www.reed.co.uk/jobs/supply-chain-coordinator/52331369,52331369
432864,Quarsh,,,Customer Service Representative ,UB81QG,25500.0,26000.0,GBP,06/04/2024,18/03/2024,"BRITA Vivreau are hiring! We have a brand new opportunity for a Customer Service Representative to join our dynamic, friendly team within Service Delivery, who are passionate about delivering excellent customer service!. If you enjoy a fast paced environment and are a customer centric super star, this will be your opportunity to shine &amp; make an impact within the BRITA Vivreau business by acting as the first point of contact for all incoming ... ",0,https://www.reed.co.uk/jobs/customer-service-representative/52331368,52331368
374713,Fawkes and Reece,,,Document Controller,London,30000.0,35000.0,GBP,30/04/2024,18/03/2024,"Document Controller Location: City Of London Perm basis, Full time site based Salary: Upto 35k plus all travel I am currently working with a medium sizeed contractor in the recruiting of a Document Controller in Central London. The Site Admin/DC is responsible for managing all correspondence and documentation for a project. The role forms an integral part of the project team, with a focus on providing administrative support to the Project Manage... ",0,https://www.reed.co.uk/jobs/document-controller/52331367,52331367
665975,First Glimpse,,,Part Time Receptionist,NN15LY,8.6,12.0,GBP,30/04/2024,18/03/2024,"Job specification - Part Time Receptionist First Glimpse - Baby Bonding Ultrasound Scanning Clinic We carry out private ultrasound scans for women during pregnancy. As the front of house receptionist, you will be the first point of contact for our customers. You will be working alongside our ultrasound technicians in a fast paced environment. About You - - PC skills are required - Customer facing/reception experience is desirable - Can work well... ",0,https://www.reed.co.uk/jobs/part-time-receptionist/52331366,52331366
