employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
599129,Elysium Healthcare,None,None,Ward Manager,WD63QU,45000.0,45000.0,GBP,18/05/2024,05/04/2024,"Being a Ward Manager is more than just managing a team. It's being a leader, an expert, being the driving force behind a positive culture, providing guidance, nurturing talent, and most importantly, looking after everyone within your ward. If you agree, then you're the Ward Manager we're looking for.&nbsp;&nbsp; Whether you're a senior nurse looking for the next step in your career, or a seasoned Ward Manager looking for a new ward to make your ...",2,https://www.reed.co.uk/jobs/ward-manager/52428929,52428929
599129,Elysium Healthcare,None,None,Consultant Psychiatrist,AL96NN,10000.0,10000.0,GBP,22/05/2024,27/02/2024,"Join the vibrant team at Rhodes Wood Hospital, a specialist CAMHS Eating Disorder service with 3 wards that empowers recovery in a fast-paced, challenging and fun environment for children and young people aged 8-18 years with eating disorders - which offers compressed hours flexibility and a relocation package of 8,000. Rhodes Wood is working through a programme to continually innovate, improve and deliver excellent care to our young people and ...",2,https://www.reed.co.uk/jobs/consultant-psychiatrist/52205543,52205543
582327,ITonlinelearning Recruitment,None,None,Coding and Programming Trainee,LU12BQ,26000.0,35000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc...",32,https://www.reed.co.uk/jobs/coding-and-programming-trainee/51961048,51961048
582327,ITonlinelearning Recruitment,None,None,Business Analyst Trainee,LU12BQ,26000.0,39000.0,GBP,22/05/2024,16/01/2024,"Are you looking to start a career as a Business Analyst (BA) and need tailored recruitment support and the right qualifications to secure your career? A business analyst is a problem solver who for example investigates an issue or area of weakness within an organisation, analyses solutions and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career in this...",24,https://www.reed.co.uk/jobs/business-analyst-trainee/51961041,51961041
582327,ITonlinelearning Recruitment,None,None,Data Analyst Trainee,LU12BQ,30000.0,50000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e...",77,https://www.reed.co.uk/jobs/data-analyst-trainee/51961038,51961038
582327,ITonlinelearning Recruitment,None,None,Cyber Security Trainee,LU12BQ,24000.0,37000.0,GBP,22/05/2024,16/01/2024,"Cyber Security Placement Programme - No Experience Required Are you looking to benefit from a new career in IT and Cybersecurity? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level IT and Cybersecurity staff that can hit the ground running with up-to-date skills gained ...",40,https://www.reed.co.uk/jobs/cyber-security-trainee/51961032,51961032
582327,ITonlinelearning Recruitment,None,None,Trainee Project Administrator,LU12BQ,26000.0,38000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Project Management? If you are organised, competent, dependable and can communicate well and motivate those around you; you could have a truly rewarding future as a Project Manager. We do this using our specialised programme looking at placing candidates into gateway project management positions to build the foundation of a project management career. Please note this career program is designed for ...",36,https://www.reed.co.uk/jobs/trainee-project-administrator/51961026,51961026
582327,ITonlinelearning Recruitment,None,None,Trainee Project Support,LU12BQ,26000.0,35000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Project Management? If you are organised, competent, dependable and can communicate well and motivate those around you; you could have a truly rewarding future as a Project Manager. We specialise in placing candidates within the project sector using our career progression and placement program. Please note this career program is designed for entry level individuals with limited or no experience, so...",20,https://www.reed.co.uk/jobs/trainee-project-support/51961020,51961020
582327,ITonlinelearning Recruitment,None,None,Trainee Project Manager,LU12BQ,26000.0,38000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Project Management? If you are organised, competent, dependable and can communicate well and motivate those around you; you could have a truly rewarding future as a Project Manager. We do this using our specialised programme looking at placing candidates into gateway project management positions to build the foundation of a project management career. Please note this career program is designed for ...",21,https://www.reed.co.uk/jobs/trainee-project-manager/51961012,51961012
471509,HCPA Ltd,None,None,Specialist Behaviour Support Worker,SG36AA,11.95,11.95,GBP,22/05/2024,09/04/2024,"About the Company We have four values that express and represent our shared understanding of the principles that are important to us as an organisation. Developed in partnership with our staff, customers, and their families and carers, they set out the things we aspire to be as an organisation and that underpin everything we do. Why should I apply for this Specialist Behaviour Support Worker job? Care Professional Academy Rewards include: Reward...",2,https://www.reed.co.uk/jobs/specialist-behaviour-support-worker/52444258,52444258
