employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
428645,Venn Group,None,None,HSE Advisor,Aberdeen,None,None,None,02/05/2024,03/04/2024,Job Title: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; HSE Advisor Job reference: &nbsp; J79777 Venn Group is currently working with a contractor in Aberdeen who are recruiting for a HSE Advisor for an ongoing project. Duties will include: Working and reporting to HSE Manager Completing necessary paperwork Carrying out site inspections Looking after all Health and Safety aspects on site Essential Skills / Qualifications: N...,20,https://www.reed.co.uk/jobs/hse-advisor/52415600,52415600
117679,Gekko,None,None,Sales Assistant,Aberdeen,70.0,92.0,GBP,25/04/2024,13/03/2024,"Are you looking for exciting part time weekend work that fits around other commitments? Interested in representing premium technology brands within retail stores? Become the face of fast-moving brands, engaging with customers and store staff to increase brand awareness and drive sales. If you have experience working in a customer facing environment and are a tech enthusiast, we want to hear from you. You will receive: 70 - 92/day sales incentive...",43,https://www.reed.co.uk/jobs/sales-assistant/52307926,52307926
556297,HGV Training Network,None,None,Trainee HGV Driver,Aberdeen,34000.0,55000.0,GBP,17/05/2024,30/11/2023,Trainee HGV Driver HGV Training Network is one of the largest HGV &amp; LGV training and recruitment companies in the country; we are currently working to fill numerous full-time trainee HGV driver vacancies across the UK. The Trainee HGV Driver role is subject to successful completion of the training course - details of costs &amp; fees will be discussed at registration. You will be fully trained before you start your new role by one of our exc...,22,https://www.reed.co.uk/jobs/trainee-hgv-driver/51715868,51715868
391108,The AA,None,None,Roadside Rescue Mechanic,Aberdeen,52000.0,52000.0,GBP,25/05/2024,04/12/2023,"Push for better, join the AA. As our Roadside Rescue Mechanic, you’ll go the extra mile for our members. Anything can happen whilst driving, but we are the AA and we get everyone back on the road safely so the show can go on. In return, we’ll go the extra mile for you, with training, support and opportunities for development. Take a look at all things The AA at our You Tube channel:&nbsp;The AA - YouTube Our commitments : Salary: 52,000 OTE On a...",8,https://www.reed.co.uk/jobs/roadside-rescue-mechanic/51737158,51737158
664061,Maximus Clinical Jobs UK,None,None,Physiotherapist - Functional Assessor,Aberdeen,39500.0,46300.0,GBP,30/05/2024,17/04/2024,"Do good. Be great as a physiotherapist. Are you a physiotherapist who wants to continue helping people but needs a better work-life balance? Join our Assessments Division and thrive as you use your clinical skills in a different way and help people move forward with their lives. About the role Day-to-day, you’ll carry out telephone, video or face-to-face assessments to understand how a person's disability or health condition affects their daily ...",0,https://www.reed.co.uk/jobs/physiotherapist-functional-assessor/52493346,52493346
664061,Maximus Clinical Jobs UK,None,None,Occupational Therapist Functional Assessor,Aberdeen,39500.0,46300.0,GBP,30/05/2024,17/04/2024,"Do good. Be great as a Occupational Therapist - Functional Assesso r Are you an Occupational Therapist who wants to continue helping people but needs a better work life balance? At Maximus, you don’t need to compromise. Join our Centre for Health and Disability Assessments (CHDA) business as an Occupational Therapist Functional Assessor and use your clinical skills in a different way to help people move forward with their lives. Our healthcare c...",0,https://www.reed.co.uk/jobs/occupational-therapist-functional-assessor/52493305,52493305
268423,Focus Resourcing,None,None,Charge Nurse,Aberdeen,38247.0,43331.0,GBP,25/04/2024,13/03/2024,"We have excellent opportunity an experienced Clinical Team Lead also known as Charge Nurse, to manage a team of registered nurses and care assistants in a neurological centre in Aberdeen. This role is a 37.5hr week with a salary range of 38247 - 43331 As the Charge Nurse, you will be responsible for: You will have responsibility to ensure effective performance management of all clinical staff in line with company policies and procedures for recr...",5,https://www.reed.co.uk/jobs/charge-nurse/52304221,52304221
268423,Focus Resourcing,None,None,Registered Nurse,Aberdeen,34102.0,36037.0,GBP,25/04/2024,13/03/2024,"A wonderful opportunity has arisen to join an expert team within a neurological centre as a Registered Nurse. The shift hours cover 3 long days - 7am - 7.15pm with an additional 9 hour shift to make a 37.5 hour week. As the Registered Nurse, you will be responsible for: As a Registered Nurse you will be responsible for the assessment, planning, implementation and evaluation of high standards of personalised nursing care for our residents. RNs le...",50,https://www.reed.co.uk/jobs/registered-nurse/52304007,52304007
437172,Matchtech,None,None,Senior Process Engineer,Aberdeen,None,None,None,24/04/2024,12/03/2024,"Key Responsibilities: Develop and review process designs and specifications, ensuring compliance with industry standards and regulations Conduct process simulations and analysis to optimise efficiency and productivity Produce and review process flow diagrams (PFDs) and piping and instrumentation diagrams (P&amp;IDs) Collaborate with interdisciplinary teams to provide technical expertise and support Identify and resolve any design, operational, a...",25,https://www.reed.co.uk/jobs/senior-process-engineer/52296746,52296746
679123,Amey,None,None,Highways Supervisor,Aberdeen,None,None,None,18/05/2024,17/04/2024,"Company description: Amey Group Information Services Limited Job description: Your New Role We have a fantastic opportunity for a&nbsp; permanent Highways Supervisor &nbsp;to join our&nbsp; NMC NE &nbsp;account in Aberdeen or Peterhead. Our&nbsp; NMC NE &nbsp;account is working in partnership with Transport Scotland Northeast since August 2022, with an increased focus on supporting the creation of sustainable futures for communities, together we...",1,https://www.reed.co.uk/jobs/highways-supervisor/52493170,52493170
