employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
567513,Hunter AHP & Mental Health,None,None,RMN - Low & Medium Secure - Nights & Days,Abertillery,30.15,38.15,GBP,10/05/2024,28/03/2024,"RMN x 2 Night Nurse &amp; Day Nurse - Low Secure &amp; Medium Secure Male Unit Location: Abertillery area, Wales Rate: 30.15PH Week Days, 34.15PH Week Nights/Saturdays, 38.15PH Sundays/BH's Hours: Days: 7.30am till 8.00pm with 1-hour unpaid break Nights: 7.30pm till 8.00am with 1-hour unpaid break Additional Info: 27 bed unit Need nurses with experience in secure units, require PMVA training Ability to administer depot injections Must possess a ...",3,https://www.reed.co.uk/jobs/rmn-low-medium-secure-nights-days/52394051,52394051
567513,Hunter AHP & Mental Health,None,None,RMN - Medium Secure Male unit - Days and Nights,Cwmtillery,30.15,38.15,GBP,17/05/2024,04/04/2024,"RMN x 2 Night Nurse &amp; Day Nurse - Low Secure &amp; Medium Secure Male Unit Location:&nbsp;Abertillery area, Wales Rate:&nbsp; 30.15PH Week Days, 34.15PH Week Nights/Saturdays, 38.15PH Sundays/BH's Hours: Days: 7.30am till 8.00pm with 1-hour unpaid break Nights: 7.30pm till 8.00am with 1-hour unpaid break Additional Info: 27 bed unit Need nurses with experience in secure units, require PMVA training Ability to administer depot injections Must...",1,https://www.reed.co.uk/jobs/rmn-medium-secure-male-unit-days-and-nights/52421694,52421694
599129,Elysium Healthcare,None,None,Bank Nurse,NP132DA,18.23,18.23,GBP,21/04/2024,09/03/2024,"Are you a UK Registered Nurse (RMN, RNLD) wanting control and flexibility to work the shifts you want? Whether you’re a Nurse looking for extra shifts to boost your income or a flexible job that fits around your lifestyle, if you’re a UK Registered Nurse you can join our nurse staff bank and, after completing a paid two-week induction, you’ll have access to available nursing shifts at &nbsp;Aberbeeg, plus the potential future option to work bank...",4,https://www.reed.co.uk/jobs/bank-nurse/52282494,52282494
599129,Elysium Healthcare,None,None,Mental Health Nurse,NP132DA,39121.0,39121.0,GBP,21/04/2024,09/03/2024,"Are you an experienced Mental Health Nurse wanting to work in an environment where kindness and teamwork is integral? Where you'll be invested in, with opportunities to develop and grow your career to achieve your goals? Then join the team at&nbsp;Aberbeeg&nbsp;in&nbsp;Abertillery,&nbsp;and come and experience what delivering great healthcare should feel like.&nbsp; As an experienced Mental Health Nurse from the NHS or private sector in the UK, ...",2,https://www.reed.co.uk/jobs/mental-health-nurse/52282498,52282498
599129,Elysium Healthcare,None,None,Newly Qualified Preceptee Nurse,NP132DA,29114.0,29114.0,GBP,21/04/2024,09/03/2024,"You’ve just qualified as a nurse and are looking to choose your first job. One that will give your career the best start and the support you need. We’ve come to the right place. When you join Elysium as a newly qualified Registered Nurse, you are automatically enrolled onto our Preceptorship Academy. That’s 12 months of expert support, training and supervision to help you apply your academic knowledge in real life situations. You will be develop...",3,https://www.reed.co.uk/jobs/newly-qualified-preceptee-nurse/52282486,52282486
575264,Reed,None,None,Behaviour Classroom Support Assistant,NP131DB,12.82,12.82,GBP,27/04/2024,12/04/2024,"Special Needs Teaching Assistant Location: Ebbw Vale Salary: 12.82&nbsp;per hour Job Type: Full-time, Monday to Friday - Term Time only Our school is currently on the lookout for a compassionate and skilled Special Needs Teaching Assistant to provide essential support to students with diverse needs. If you have a passion for educational development and a dedication to creating a positive impact on children with special needs, we would love to he...",2,https://www.reed.co.uk/jobs/behaviour-classroom-support-assistant/52465708,52465708
575264,Reed,None,None,SEN - Secondary Teacher,NP131DB,157.66,200.0,GBP,09/05/2024,08/04/2024,"Are you a qualified and experienced secondary teacher who can work with challenging and vulnerable young people in a Pupil Referral Unit (PRU) setting? If so, we have a rewarding opportunity for you at a specialist provision in Ebbw Vale. The school is a specialist provision for pupils aged 11 to 16 who have been excluded or are at risk of exclusion from mainstream education. We offer a safe and supportive environment where pupils can access a b...",1,https://www.reed.co.uk/jobs/sen-secondary-teacher/52435544,52435544
233534,Hunter Selection Limited,None,None,Project Engineer,Abertillery,30000.0,37000.0,GBP,17/05/2024,18/04/2024,"Project Engineer Blaenau Gwent 23631/612 30,000 - 37,000 plus annual bonus, pension and more Benefits Package: 30,000 - 37,000 Company Annual Bonus 10% pension - 5% matched contribution Westfield Health cover 33 days holidays Ongoing professional career development A rare and exciting opportunity has arisen for a Project Engineer to join a thriving and growing global engineering business based in South Wales. They operate on a global scale and s...",1,https://www.reed.co.uk/jobs/project-engineer/52500638,52500638
524744,Hays Specialist Recruitment Limited,None,None,Support Worker,Abertillery,24000.0,25000.0,GBP,23/05/2024,10/04/2024,"Your new company We are looking to recruiting personable, flexible and motivated support workers to support our qualified staff with the delivery of care to our patients. You will be involved in the personal care and meeting the psychological needs of a diverse group of service users with varying degrees of mental and physical issues. You will be caring and attentive with the skills to build strong and trusting relationships with people. It is a...",6,https://www.reed.co.uk/jobs/support-worker/52448018,52448018
524744,Hays Specialist Recruitment Limited,None,None,Teaching Assistant,Abertillery,83.33,94.0,GBP,16/05/2024,03/04/2024,"Your new school Hays are recruiting for a job as a Full-Time SEN Teaching Assistant in Blaenau Gwent for a Special Educational Needs School which caters for pupils aged 3-16 with a variety of additional learning, emotional, and social needs as well as aspects of challenging behaviour. Many of the children have severe learning difficulties or complex additional needs and therefore require additional care, patience, and support. Patience is a key ...",2,https://www.reed.co.uk/jobs/teaching-assistant/52412955,52412955
