employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
428645,Venn Group,None,None,Senior Facilities and Operations Manager,SY233FL,30.0,35.0,GBP,20/04/2024,22/03/2024,"VENN GROUP The specialists in professional temporary recruitment Senior Facilities and Operations Manager Location: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; West Wales Hours: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 37.5 hours a week, Mon – Fri Length of contract: &nbsp;&nbsp; 3 - 6...",10,https://www.reed.co.uk/jobs/senior-facilities-and-operations-manager/52363800,52363800
441588,Lidl GB,None,None,Customer Assistant,SY231LL,12.0,12.0,GBP,01/06/2024,19/04/2024,"Summary 12.00 per hour |&nbsp; 25 to 30 hour contract &nbsp;|&nbsp; 30-35 days’ holiday (pro rata) | 10% in-store discount | Pension scheme Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We’re collaborative, determined and we all pitch in to help each other out. Just like you. As a Lidl Customer Assistant, no two shifts are the same. From restocking shelves to jumping on tills, you’ll ke...",0,https://www.reed.co.uk/jobs/customer-assistant/52502145,52502145
664061,Maximus Clinical Jobs UK,None,None,Assessment Nurse,SY231LA,39500.0,46300.0,GBP,30/05/2024,17/04/2024,"Do good. Be great as a nurse. Are you a nurse who wants to continue helping people but needs a better work-life balance? Join our Assessments Division and thrive as you use your clinical skills in a different way and help people move forward with their lives. About the role Day-to-day, you’ll carry out telephone, video or face-to-face assessments to understand how a person's disability or health condition affects their daily life. You’ll listen ...",0,https://www.reed.co.uk/jobs/assessment-nurse/52493176,52493176
647971,John Francis,None,None,Estate Agent,SY231NY,None,None,None,21/05/2024,08/04/2024,"Job Description OTE: 28,000 , Uncapped Commission, Career Progression We’re looking for a highly motivated Estate Agent / Sales Negotiator to complement our fantastic residential sales team in Aberystwyth working in our well known John Francis estate agency. Why join us as an Estate Agent / Sales Negotiator? Industry leading training and development Support to gain your Level 3 qualification in your specialist area Demonstrable career ladder Sup...",3,https://www.reed.co.uk/jobs/estate-agent/52436906,52436906
343210,Booker Group,None,None,Seasonal Branch Assistant,SY233JQ,None,None,None,01/05/2024,09/04/2024,"About the role *This is a Seasonal Temp Part Time branch assistant role on a 12 week rolling contract basis. Working 20 Hours We are looking for someone with a real can-do attitude who is passionate about delivering excellent customer service and willing to go the extra mile for our customers. Working as part of a team you will be working in a dynamic, fast paced environment where no two days are the same. We are 5/7 day operation, (check our we...",0,https://www.reed.co.uk/jobs/seasonal-branch-assistant/52444062,52444062
381156,Piers Meadows Recruitment,None,None,Occupational Therapist,SY233UE,33.0,36.0,GBP,01/06/2024,19/04/2024,Ceredigion Council Community OT to work (up to full time hours) within our Adult social services OT team. They should have prior community experience including: -Ability to independently manage a complex case load -Experience and confidence in complex manual handling -Knowledge and experience of completing major and minor environmental adaptations -Knowledge and experience in assessment and use of complex manual handling equipment Suggested that...,0,https://www.reed.co.uk/jobs/occupational-therapist/52505449,52505449
496073,Public Practice Recruitment Ltd,None,None,Partner Designate,SY231AB,90000.0,120000.0,GBP,29/05/2024,16/04/2024,"Partner Designate Job Vacancy?? Are you a Partner in the making? This reputable accountancy firm is looking for a talented Partner Designate who can work towards being the next generation of Partners. We’re looking for a seasoned accountant who can make a real difference as an integral part of a dynamic and ambitious team. This Partner Designate job in Aberystwyth is a superb opportunity for a career-driven candidate to make the role their own, ...",0,https://www.reed.co.uk/jobs/partner-designate/52484470,52484470
381156,Piers Meadows Recruitment,None,None,Physiotherapist,SY231ER,32.0,42.0,GBP,23/04/2024,22/12/2023,"Physiotherapist Band 7 - 8a Physiotherapist MSK Physiotherapist 3- 4 month assignment First Contact Practitioner MSK Physiotherapist Based in GP surgeries in West Wales Excellent pay and long term role For further details, please contact Alex...",3,https://www.reed.co.uk/jobs/physiotherapist/51843264,51843264
464789,Randstad Care,None,None,Registered General Nurse RGN,Aberystwyth,25.0,43.0,GBP,30/05/2024,17/04/2024,"Job Title: Registered General Nurse Location: Aberystwyth , West Wales Job Type: Ad hoc shifts Salary: up to 43 per hour Overview: We are currently seeking dedicated and compassionate Registered General Nurses with a minimum of 12 months experience to work in Aberystwyth. As a Registered General Nurse, you will provide high-quality nursing care to patients, ensuring their physical and emotional well-being. You will work collaboratively with a mu...",0,https://www.reed.co.uk/jobs/registered-general-nurse-rgn/52488941,52488941
549402,Premier Engineering,None,None,Senior Embedded Software Engineer,Aberystwyth,None,None,None,26/04/2024,28/03/2024,"Sectors: Electronics, Manufacturing, Bio Technology &nbsp; Job title: Senior Embedded Software Engineer Job Type: Permanent Location: Aberystwyth (Mid and West Wales) Salary: 40,000 - 60,000 per annum Relocation Assistance is available Great Benefits Package – See Below Company overview &amp; Job Title: An inclusive, innovative engineering company located and based in Aberystwyth (Mid and West Wales) that specialises in Bio Technology and most i...",4,https://www.reed.co.uk/jobs/senior-embedded-software-engineer/52398062,52398062
332399,Sanctuary Personnel,None,None,Biomedical Scientist - Biochemistry,Aberystwyth,34.0,34.0,GBP,05/05/2024,23/03/2024,"Are you an experienced and dedicated Biomedical Scientist seeking an exciting new opportunity? Look no further than Sanctuary Personnel, an esteemed and award-winning recruitment agency with a TrustPilot score of 4.9/5 and over 600 reviews. We are currently offering a fantastic career opportunity in Aberystwyth for a Band 6 Biochemistry Biomedical Scientist with UK experience. As a Biomedical Scientist in this locum role, you will be compensated...",21,https://www.reed.co.uk/jobs/biomedical-scientist-biochemistry/52367151,52367151
573276,Pioneer Selection Ltd,None,None,Multi Skilled Engineer,Aberystwyth,40000.0,40000.0,GBP,29/05/2024,16/04/2024,"Maintenance Engineer - CAREER PROGRESSION! FMCG MARKET LEADER!&nbsp; Salary: 38,000 - 40,000 (OTE 44,000 ) Shift: NIGHTS! (Sun-Thurs) Location:&nbsp;Aberystwyth BRAND NEW exciting opportunity to work for a FMCG Market Leading Company during their busiest period! This is the chance for a Maintenance Engineer to take their career to the next level. This company invests heavily in their factories and future, and therefore need to recruit extra Main...",0,https://www.reed.co.uk/jobs/multi-skilled-engineer/52481455,52481455
10310,Redline Group Ltd,None,None,Senior Firmware Engineer,Aberystwyth,45000.0,55000.0,GBP,29/04/2024,31/03/2024,"Are you a Senior Firmware Engineer looking for a job with a market leader? Are you located in Aberystwyth, or happy to commute / relocate? If so, I'd like to speak with you! My client based in Aberystwyth is a highly successful technology company with market leading products and solutions. With over 20 years' experience in their field they are forward thinking and have a global presence. Customers they work with include some of the biggest compa...",5,https://www.reed.co.uk/jobs/senior-firmware-engineer/52399727,52399727
410926,Anderson Wright Consulting Ltd,None,None,Cranes Engineer Surveyor,SY231PB,42000.0,45000.0,GBP,24/05/2024,11/04/2024,"Cranes Engineer Surveyor – Engineer Surveyor – Cranes and Lifting Equipment – Aberystwyth Region - Total package circa 55,000 with a basic of 42,000, bonus, Generous pension Are you an engineer with experience of maintaining, servicing, or inspecting any type of lifting equipment or cranes? Are you interested in a career with a huge test, inspection and certification company with over a hundred and fifty years of history? You will be rewarded wi...",0,https://www.reed.co.uk/jobs/cranes-engineer-surveyor/52455969,52455969
496073,Public Practice Recruitment Ltd,None,None,Partner Designate,SY232DS,80000.0,100000.0,GBP,03/07/2024,18/05/2023,"Partner Designate Job Vacancy Are you the hands-on Partner Designate we’re looking for? This Partner Designate job in Aberystwyth is a rare opportunity for an experienced candidate to join a reputable accountancy practice in Aberystwyth at Partner Designate level, with the chance to make a real mark on a thriving Welsh firm of accountants and business advisors. We want to hear from you if: You’re passionate about driving business development, bu...",2,https://www.reed.co.uk/jobs/partner-designate/50443214,50443214
496073,Public Practice Recruitment Ltd,None,None,Audit & Accounts Senior,SY232DS,35000.0,42000.0,GBP,22/05/2024,16/05/2023,"Audit &amp; Accounts Senior Job Vacancy We’re seeking an exceptionally talented and dynamic Audit and Accounts Senior in Aberystwyth to support the provision of audit services for a thriving firm of accountants. The suite of benefits on offer for this role is generous and includes a salary of up to 42k p/a. So, if you’re an accountant who has enjoyed a progressive career to date and offers mixed skills and experience in both audit and accounts, ...",4,https://www.reed.co.uk/jobs/audit-accounts-senior/50427114,50427114
496073,Public Practice Recruitment Ltd,None,None,Audit Manager,SY231AB,55000.0,65000.0,GBP,29/05/2024,16/04/2024,"Audit Manager Job Vacancy Are you the exceptional Audit Manager we’re looking for? This Audit Manager job in Aberystwyth is a superb opportunity for a seasoned auditor who excels at portfolio management, team oversight, and business development. Do you have a proven track record of portfolio management within UK practice? Are you a strong communicator able to build enhanced relationships? Are you a proactive problem solver with a keen eye for de...",0,https://www.reed.co.uk/jobs/audit-manager/52481520,52481520
599496,Protyre,None,None,MOT Tester,SY233JQ,32000.0,32000.0,GBP,16/05/2024,03/04/2024,"MOT Tester Protyre is looking for an enthusiastic MOT Tester to join our growing team.We are a fast-growing national automotive company offering superb training and development opportunities. The successful candidate will be responsible for MOTs, base level mechanical repairs and servicing, fast fit, tyre fitting and general repairs. Assisting with the completion of fitting and removal of tyres to a high standard. Carrying out MOTs in line with ...",0,https://www.reed.co.uk/jobs/mot-tester/52412391,52412391
632629,Appcastenterprise,None,None,Delivery Driver,Aberystwyth,None,None,None,26/04/2024,14/03/2024,"&quot;Delivery with the best as a self-employed delivery rider&nbsp; Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like.&nbsp; Make extra money. With Just Eat’s cutting-edge technology you get more deliveries, more often, meaning more money in your pocket.&nbsp; Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right? He...",0,https://www.reed.co.uk/jobs/delivery-driver/52311384,52311384
537530,Superbike Factory Ltd,None,None,MOTORCYCLE TECHNICIAN (ALL LEVELS),United Kingdom,25000.0,35000.0,GBP,01/06/2024,19/04/2024,"A Day in the Life of our Technicians: No two days are the same in our workshop; with exposure to all makes and models, the technical knowledge you can gain with us is a rare opportunity within the industry. From day to day, you would be working on the latest motorcycles available on the market; something a single main dealership cannot offer. Our technicians cover all level of mechanics including: Diagnosing standard and complex faults and ensur...",1,https://www.reed.co.uk/jobs/motorcycle-technician-all-levels/52505486,52505486
599611,Verisure,None,None,Sales Executive,United Kingdom,25000.0,35000.0,GBP,28/05/2024,15/04/2024,"The Sales role comes with a combination of a guaranteed salary and an uncapped commission scheme. Typically, Sales Assistants earn between 30k - 40k OTE in their first year, and our top performers can earn more than 60k OTE. This Sales role offers the following: Company car with fuel card and mobile phone (subject to terms). The chance to boost your salary with an uncapped commission scheme . A solid career path with excellent growth opportuniti...",79,https://www.reed.co.uk/jobs/sales-executive/52474498,52474498
441588,Lidl GB,None,None,Warehouse Operative,United Kingdom,12.0,13.85,GBP,31/05/2024,18/04/2024,"Summary - Inside M25 = 13.55- 13.85 - Outside M25 = 12- 13 . This isn’t 9-5. This is making the most of every day. Shift patterns: Various shifts available Our warehouses never stop running; 24 hours a day, our Warehouse Operatives work a range of shifts to make sure our stores receive the right stock, when they need it. We rely on every single employee in the warehouse to roll up their sleeves and get the job done - it’s your energy that helps ...",550,https://www.reed.co.uk/jobs/warehouse-operative/52497935,52497935
441588,Lidl GB,None,None,Deputy Store Manager,United Kingdom,34.0,42.0,GBP,31/05/2024,18/04/2024,"Summary 34,000 up to 42,000 per annum (pro rata) This isn’t only being hands-on. This is being switched on. Our Deputy Store Managers keep our stores running like clockwork, working on the shop floor with a driven team of Customer Assistants, Specialists and Shift Managers. We rely on our Deputy Store Managers to ensure the team is working efficiently to complete tasks accurately and on time. You’ll be given great responsibility, ensuring the te...",26,https://www.reed.co.uk/jobs/deputy-store-manager/52497926,52497926
441588,Lidl GB,None,None,Retail Shift Manager,United Kingdom,14.0,15.35,GBP,31/05/2024,18/04/2024,"Summary Inside M25 = 14.85- 15.35 - Outside M25 14.00- 14.50 - This isn’t clocking in and clocking out. This is helping us run like clockwork. Internally this role will be called Shift Manager Our Shift Managers keep our stores running like clockwork. From motivating the team and delegating tasks, to rolling up their sleeves and getting stuck in, our Shift Managers help us to maintain our high standards every day. They support our Store Managers...",48,https://www.reed.co.uk/jobs/retail-shift-manager/52497809,52497809
441588,Lidl GB,None,None,Customer Assistant,United Kingdom,12.0,13.85,GBP,31/05/2024,18/04/2024,"Inside M25 = 13.55- 13.85 - Outside M25 = 12- 13 - This isn’t stacking shelves. This is feeding families. As a Customer Assistant at Lidl, no shift is the same and you get out what you put in. Starting at 5am some days to set up the store bakery for the day or finishing at 11pm on others to close the store and ensure the store is ready for another day of customers, you’ll keep moving and keep business booming. Every day is different, so you won’...",100,https://www.reed.co.uk/jobs/customer-assistant/52497790,52497790
