employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
456295,Hillarys Blinds,None,None,Blinds and Curtains Installer,OX143PH,25000.0,35000.0,GBP,21/05/2024,08/04/2024,"Blinds and Curtains Installer - &nbsp; 25,000- 35,000 earnings p/a APPLY NOW TO FIND OUT MORE AND JOIN US AT OUR VIRTUAL DISCOVERY SESSION. Are you looking for additional income? With flexible hours that work alongside other commitments? As a Hillary’s advisor you can work either part or full time and still benefit from high earning potential. Imagine working for yourself, at your own pace, with hours that suit your needs and lifestyle. You will...",0,https://www.reed.co.uk/jobs/blinds-and-curtains-installer/52436933,52436933
598289,Revorec Recruitment Solutions Ltd,None,None,Quality Engineer / Inspector - Manufacturing,Abingdon,35000.0,45000.0,GBP,31/05/2024,18/04/2024,"Quality Engineer / Inspector - Manufacturing 35,000 - 45,000 per annum Bonus Hybrid working Flexible hours Excellent company benefits Monday - Friday, 37.5 hours Abingdon, Oxfordshire Are you a Quality Engineer or Quality Inspector, looking for an interesting and varied role? Are you interested in working for a company that offers flexible hours, hybrid working and a lucrative bonus scheme? Do you want to work for a company that prioritises empl...",4,https://www.reed.co.uk/jobs/quality-engineer-inspector-manufacturing/52499293,52499293
598289,Revorec Recruitment Solutions Ltd,None,None,Senior Quality Engineer - Progressing into Quality Manager,Abingdon,40000.0,50000.0,GBP,31/05/2024,18/04/2024,"Senior Quality Engineer - Progressing into Quality Manager 40,000 - 50,000 per annum Bonus Hybrid working Flexible hours Excellent company benefits Monday - Friday, 37.5 hours Abingdon, Oxfordshire Are you a Senior Quality Engineer interested in progressing into a Quality Manager role? Would you like to work for a company that offers flexible hours, hybrid working and a lucrative bonus scheme? Are you looking to join a company that prioritises e...",2,https://www.reed.co.uk/jobs/senior-quality-engineer-progressing-into-quality-manager/52499476,52499476
678195,CEF - City Electrical Factors,None,None,Sales Assistant,OX143NJ,28000.0,28000.0,GBP,08/05/2024,26/03/2024,"We are currently looking to recruit a full-time Sales Assistant for our Abingdon store. You will provide excellent sales and customer service in-store and by phone, prepare customer quotations, order goods and negotiate with suppliers, pick customer orders and be responsible for managing goods in and out of the store. You’ll build relationships with customers, prepare merchandising displays and offer expert advice on products. We’re looking for ...",6,https://www.reed.co.uk/jobs/sales-assistant/52378966,52378966
495572,Aldi,None,None,Store Assistant,OX141ZE,12.0,12.95,GBP,28/05/2024,05/05/2022,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",103,https://www.reed.co.uk/jobs/store-assistant/46768732,46768732
647274,Allen and Harris,None,None,Branch Administrator,OX145BD,None,None,None,16/05/2024,03/04/2024,"Job Description At Allen &amp; Harris , part of the Connells Group, we're looking for a highly motivated Branch Administrator to support our fantastic team in branch in Abingdon . As our Branch Administrator you will take ownership of office administration accurately and efficiently and in a professional manner, within a busy customer facing environment. What’s in it for you as our Branch Administrator? Industry leading training and development ...",8,https://www.reed.co.uk/jobs/branch-administrator/52413853,52413853
666209,Jewson,None,None,HGV Driver Abingdon,OX145HX,None,None,None,01/05/2024,02/04/2024,"Are you looking to enhance your career with the European leader in supply and distribution of building materials? Jewson, alongside its sister brands form the STARK Group and we are looking for enthusiastic and committed drivers to join our team. What's in it for you? Social working hours between 07:00 - 16:30 and alternate Saturdays 08:00 - 12:00 Fully funded induction at our industry leading training academy ALLMI accredited vehicle mounted cr...",3,https://www.reed.co.uk/jobs/hgv-driver-abingdon/52410166,52410166
647274,Allen and Harris,None,None,Branch Manager,OX145BD,None,None,None,03/05/2024,21/03/2024,"Job Description At Allen &amp; Harris , part of the Connells Group, we're looking for a highly motivated Branch Manager – Estate Agent to lead our fantastic residential sales team in Abingdon . This is a great opportunity for a proven Manager or an established Estate Agent looking for progression and to step in to your first branch management appointment in residential sales. This is a branch that can give you the platform to excel as a manager ...",2,https://www.reed.co.uk/jobs/branch-manager/52353972,52353972
647887,Connells,None,None,Trainee Estate Agent,OX145AX,None,None,None,01/06/2024,19/04/2024,"Job Description OTE - 25,000 - Uncapped Commission - Career Progression At Connells , we're looking for a highly motivated Trainee Estate Agent who will work toward becoming a Sales Negotiator for our fantastic residential sales team in Abingdon . The Trainee Estate Agent is an entry level role where you will learn all aspects of Estate Agency model and be taken through an industry leading development and training program. A quick look at the ro...",0,https://www.reed.co.uk/jobs/trainee-estate-agent/52505228,52505228
495572,Aldi,None,None,Store Assistant Fixed Term,OX141ZE,12.0,12.0,GBP,28/05/2024,28/09/2022,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",44,https://www.reed.co.uk/jobs/store-assistant-fixed-term/48332899,48332899
647887,Connells,None,None,Trainee Estate Agent,OX145AX,None,None,None,31/05/2024,18/04/2024,"Job Description OTE - 25,000 - Uncapped Commission - Career Progression At Connells, we're looking for a highly motivated Trainee Estate Agent who will work toward becoming a Sales Negotiator for our fantastic residential sales team in Abingdon. The Trainee Estate Agent is an entry level role where you will learn all aspects of Estate Agency model and be taken through an industry leading development and training program. A quick look at the role...",1,https://www.reed.co.uk/jobs/trainee-estate-agent/52497367,52497367
647887,Connells,None,None,Assistant Branch Manager,OX145AX,None,None,None,21/05/2024,08/04/2024,"Job Description At &nbsp;Connells , we're&nbsp;looking for a highly motivated&nbsp; Assistant Branch Manager - Estate Agent &nbsp;to help lead our fantastic residential sales team in&nbsp; Abingdon . This is a great opportunity for a proven&nbsp; Manager &nbsp;or an established&nbsp; Estate Agent &nbsp;looking for&nbsp; progression&nbsp; and to step in to your first branch management appointment in residential sales.&nbsp; This is a branch that ...",0,https://www.reed.co.uk/jobs/assistant-branch-manager/52438849,52438849
647887,Connells,None,None,Senior Estate Agent,OX145AX,None,None,None,21/05/2024,08/04/2024,"Job Description OTE - 40,000 - Uncapped Commission - Career Progression At Connells , we're looking for a highly motivated Senior Estate Agent to complement our fantastic residential sales team as a Senior Sales Negotiator in branch in Abingdon . A quick look at the role In this role you will be helping people find their dream home by generating and booking valuations, conducting property viewings, negotiate offers and agree sales! You will also...",0,https://www.reed.co.uk/jobs/senior-estate-agent/52438848,52438848
674407,One Motion Logistics,None,None,Delivery Driver,OX141AA,210.0,210.0,GBP,24/05/2024,11/04/2024,"Delivery Drivers Wanted! One of the UK's leading delivery service providers requires drivers urgently! Do you want a change of career with a competitive earning potential? Are you an experienced delivery driver looking for a change? Then we want to hear from you! 210 Per Day guaranteed. Assured five days of work weekly, beginning at 7 AM from Monday to Friday. Large/heavy freight so must be confident with manual handling! Owner drivers welcome! ...",7,https://www.reed.co.uk/jobs/delivery-driver/52459088,52459088
647274,Allen and Harris,None,None,Estate Agent,OX145BD,None,None,None,30/04/2024,18/03/2024,"Job Description OTE - 35,000 - Uncapped Commission - Career Progression At Allen &amp; Harris, part of the Connells Group, we’re looking for a highly motivated Estate Agent to join our team as a Sales Negotiator to complement our fantastic residential sales team in Abingdon . A quick look at the role In this role you will be helping people find their dream home by generating and booking valuations, conducting property viewings, negotiate offers ...",2,https://www.reed.co.uk/jobs/estate-agent/52332508,52332508
674407,One Motion Logistics,None,None,Delivery Driver,OX141AA,200.0,200.0,GBP,27/04/2024,15/03/2024,"Delivery Drivers Wanted! One of the UK's leading delivery service providers requires drivers urgently! Do you want a change of career with a competitive earning potential? Are you an experienced delivery driver looking for a change? Then we want to hear from you! 200 Per Day guaranteed. Assured five days of work weekly, beginning at 7 AM from Monday to Friday with the option for a sixth day on Saturdays during peak times. Same route daily. Owner...",13,https://www.reed.co.uk/jobs/delivery-driver/52320332,52320332
