employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
449259,Rise Technical Recruitment Limited,None,None,Workshop / Mechanical Fitter Pumps,Alloa,28000.0,31500.0,GBP,25/05/2024,12/04/2024,"Workshop / Mechanical Fitter (Pumps) 28,000 - 31,500 Training &amp; Development Progression Fantastic benefits ! Excellent Benefits Inc. Rota Day Scheme ( up to an additional 12 days leave ) 33 days holiday ability to buy 5 more holiday days per year 8% pension Sick pay Life assurance Employee Assistance Programme Volunteering Scheme Eye tests Discounts, cash back and offers Monday - Friday Site based - Alloa - Scotland commutable from Commutabl...",7,https://www.reed.co.uk/jobs/workshop-mechanical-fitter-pumps/52467891,52467891
507210,First Achieve Ltd,None,None,Workshop Fitter,Alloa,28000.0,32000.0,GBP,14/05/2024,01/04/2024,"Our client serves customers in the power, oil &amp; gas, general industry and water &amp; waste-water sectors with highly engineered valves, pumps and actuators, as well as complete support in every phase of a project or operation. WORKSHOP MECHANICAL FITTER ENGINEERING INDUSTRY Workshop - ALLOA Requirements: To carry out mechanical fitting activities associated with the overhaul, repair and testing of rotating equipment, predominantly pump asse...",2,https://www.reed.co.uk/jobs/workshop-fitter/52401861,52401861
385838,Search,None,None,Production Operative,Alloa,11.44,11.44,GBP,25/04/2024,27/03/2024,We are recruiting for Production Operatives to work within our client based in Alloa. Duties will include but will not be limited to:- Resorting pallets of defect material Visual inspection of products to ensure customer requirements are met Sighting line inspection to ensure quality is maintained throughout production Document and sign good and reject material via computer systems and paper documents Hand packing onto pallets as per customer re...,15,https://www.reed.co.uk/jobs/production-operative/52384204,52384204
472689,Page Personnel Finance,None,None,Part Time HR Administrator,Alloa,26000.0,29000.0,GBP,29/05/2024,16/04/2024,"Our client is looking for a part time HR Administrator Client Details A leader in their field Description We currently have an excellent opportunity in our Human Resources Department for an enthusiastic, motivated and positive individual who aspires to lead the way in professional HR administration. Working closely with colleagues you will provide a comprehensive HR administration service contributing to the enhancement of procedures, processes ...",1,https://www.reed.co.uk/jobs/part-time-hr-administrator/52486055,52486055
385838,Search,None,None,Counterbalance FLT Driver,Alloa,12.42,12.42,GBP,15/05/2024,16/04/2024,"Search Consultancy are seeking experienced Counterbalance FLT Drivers to work with our well established client in Alloa. This is an immediate requirement and you must be available to start work asap. Your main duties include: Driving a counterbalance forklift truck. You are required to have a high degree of attention to detail to the products that are being handled. Excellent attendance, performance &amp; timekeeping is essential to secure a pos...",1,https://www.reed.co.uk/jobs/counterbalance-flt-driver/52485656,52485656
537530,Superbike Factory Ltd,None,None,MOTORCYCLE TECHNICIAN (ALL LEVELS),United Kingdom,25000.0,35000.0,GBP,01/06/2024,19/04/2024,"A Day in the Life of our Technicians: No two days are the same in our workshop; with exposure to all makes and models, the technical knowledge you can gain with us is a rare opportunity within the industry. From day to day, you would be working on the latest motorcycles available on the market; something a single main dealership cannot offer. Our technicians cover all level of mechanics including: Diagnosing standard and complex faults and ensur...",0,https://www.reed.co.uk/jobs/motorcycle-technician-all-levels/52505486,52505486
599611,Verisure,None,None,Sales Executive,United Kingdom,25000.0,35000.0,GBP,28/05/2024,15/04/2024,"The Sales role comes with a combination of a guaranteed salary and an uncapped commission scheme. Typically, Sales Assistants earn between 30k - 40k OTE in their first year, and our top performers can earn more than 60k OTE. This Sales role offers the following: Company car with fuel card and mobile phone (subject to terms). The chance to boost your salary with an uncapped commission scheme . A solid career path with excellent growth opportuniti...",79,https://www.reed.co.uk/jobs/sales-executive/52474498,52474498
441588,Lidl GB,None,None,Warehouse Operative,United Kingdom,12.0,13.85,GBP,31/05/2024,18/04/2024,"Summary - Inside M25 = 13.55- 13.85 - Outside M25 = 12- 13 . This isn’t 9-5. This is making the most of every day. Shift patterns: Various shifts available Our warehouses never stop running; 24 hours a day, our Warehouse Operatives work a range of shifts to make sure our stores receive the right stock, when they need it. We rely on every single employee in the warehouse to roll up their sleeves and get the job done - it’s your energy that helps ...",547,https://www.reed.co.uk/jobs/warehouse-operative/52497935,52497935
441588,Lidl GB,None,None,Deputy Store Manager,United Kingdom,34.0,42.0,GBP,31/05/2024,18/04/2024,"Summary 34,000 up to 42,000 per annum (pro rata) This isn’t only being hands-on. This is being switched on. Our Deputy Store Managers keep our stores running like clockwork, working on the shop floor with a driven team of Customer Assistants, Specialists and Shift Managers. We rely on our Deputy Store Managers to ensure the team is working efficiently to complete tasks accurately and on time. You’ll be given great responsibility, ensuring the te...",26,https://www.reed.co.uk/jobs/deputy-store-manager/52497926,52497926
441588,Lidl GB,None,None,Retail Shift Manager,United Kingdom,14.0,15.35,GBP,31/05/2024,18/04/2024,"Summary Inside M25 = 14.85- 15.35 - Outside M25 14.00- 14.50 - This isn’t clocking in and clocking out. This is helping us run like clockwork. Internally this role will be called Shift Manager Our Shift Managers keep our stores running like clockwork. From motivating the team and delegating tasks, to rolling up their sleeves and getting stuck in, our Shift Managers help us to maintain our high standards every day. They support our Store Managers...",48,https://www.reed.co.uk/jobs/retail-shift-manager/52497809,52497809
441588,Lidl GB,None,None,Customer Assistant,United Kingdom,12.0,13.85,GBP,31/05/2024,18/04/2024,"Inside M25 = 13.55- 13.85 - Outside M25 = 12- 13 - This isn’t stacking shelves. This is feeding families. As a Customer Assistant at Lidl, no shift is the same and you get out what you put in. Starting at 5am some days to set up the store bakery for the day or finishing at 11pm on others to close the store and ensure the store is ready for another day of customers, you’ll keep moving and keep business booming. Every day is different, so you won’...",100,https://www.reed.co.uk/jobs/customer-assistant/52497790,52497790
674687,Williams International Real Estate,None,None,Real Estate Consultant,United Kingdom,None,None,None,23/05/2024,10/04/2024,"Dreaming of a career in Dubai real estate? Want to live in one of the most exciting places in the world and take advantage of tax free &amp; uncapped earning potential? Williams International Real Estate has been formed with the prime goal of giving an honest, informative and professional service to our clients, as well as giving brokers and everyone else under the WIRE umbrella a platform for real success in a positive and fair working environm...",90,https://www.reed.co.uk/jobs/real-estate-consultant/52449015,52449015
645429,Prestige Luxury Real Estate,None,None,Sales Executive - Relocate to Dubai,United Kingdom,30000.0,200000.0,GBP,30/05/2024,17/04/2024,"**Sales Executive - Relocate to Dubai** Why Work in Dubai Real Estate? Are you a seasoned sales champion looking for a fresh challenge? Or maybe you’re just stepping into sales, armed with a charismatic personality and readiness to start working in the Dubai real estate market? No matter your story or where you're coming from, we're opening doors for you to rake in limitless, tax-free earnings as you carve out your niche in international real es...",25,https://www.reed.co.uk/jobs/sales-executive-relocate-to-dubai/52492679,52492679
599611,Verisure,None,None,Sales,United Kingdom,25000.0,35000.0,GBP,22/05/2024,09/04/2024,"The Sales role comes with a combination of a guaranteed salary and an uncapped commission scheme. Typically, Sales Assistants earn between&nbsp; 30k&nbsp; –&nbsp; 40k &nbsp;OTE in their first year, and our top performers can earn more than&nbsp; 60k&nbsp; OTE. This Sales role offers the following: Company car &nbsp;with fuel card and&nbsp; mobile phone &nbsp;(subject to terms). The chance to boost your salary with an&nbsp; uncapped commission sc...",117,https://www.reed.co.uk/jobs/sales/52440917,52440917
675153,DLUHC Digital,None,None,Virtual Recruitment Event - Senior Developer,United Kingdom,None,None,None,25/04/2024,12/04/2024,"Fixed term Contract: 23 month contract Job Description Come along and meet us at our virtual recruitment event 26th April. It’s a great chance to connect, meet and potentially get hired. Here at the Department for Levelling Up, Housing and Communities (DLUHC), we work on things that make a real difference to people’s lives. Find out more about what it's like to work in a digital, data and technology role at DLUHC including our culture, ways of w...",56,https://www.reed.co.uk/jobs/virtual-recruitment-event-senior-developer/52466860,52466860
645429,Prestige Luxury Real Estate,None,None,Estate Agent - Relocate to Dubai,United Kingdom,30000.0,200000.0,GBP,08/05/2024,26/03/2024,"**Estate Agent - Relocate to Dubai** Why Work in Dubai Real Estate? Are you a seasoned sales champion looking for a fresh challenge? Or maybe you’re just stepping into sales, armed with a charismatic personality and readiness to start working in the Dubai real estate market? No matter your story or where you're coming from, we're opening doors for you to rake in limitless, tax-free earnings as you carve out your niche in international real estat...",108,https://www.reed.co.uk/jobs/estate-agent-relocate-to-dubai/52380374,52380374
456295,Hillarys Blinds,None,None,Blinds & Curtains Fitter,United Kingdom,25000.0,50000.0,GBP,01/05/2024,19/03/2024,"Blinds &amp; Curtains Fitter 25,000 - 50,000 APPLY NOW AND JOIN US FOR A VIRTUAL 1 HOUR DISCOVERY SESSION. Take the first step to discover why over 1200 people successfully run a Hillarys advisor business, locally. Would you like an additional income or are you looking for a change in career? Our Advisors enjoy high earnings, alongside flexible working that works with their lifestyle. Most have no experience selling and/or installing blinds, cur...",122,https://www.reed.co.uk/jobs/blinds-curtains-fitter/52342678,52342678
421408,Unite Students,None,None,Claims Quantity Surveyor,United Kingdom,None,None,None,26/04/2024,14/03/2024,"Unite Students` Projects Team have an opportunity for an experienced Claims Quantity Surveyor to join the team. Reporting to the Commercial Manager, the Claims QS will provide commercial input into all live and prospective cladding claims relating to facade remedial andreplacement projects undertaken by the Estates Project Team. Duties will include commercial andclaims management, managing the flow of information in support of claims, reporting ...",51,https://www.reed.co.uk/jobs/claims-quantity-surveyor/52315988,52315988
452194,Allsopp & Allsopp,None,None,Sales Consultant,United Kingdom,30000.0,120000.0,GBP,25/04/2024,13/03/2024,"Sales Consultant Are you a sales achiever wanting the next step, or perhaps you are new to sales but think you have a killer personality and want to flex your muscles selling and letting properties in the Dubai real estate market? Whoever you are and whatever your background, we have an opportunity for you to earn unlimited tax-free money developing a career in international real estate with the real estate agency that consistently receives the ...",431,https://www.reed.co.uk/jobs/sales-consultant/52302086,52302086
493222,Howdens Joinery,None,None,Kitchen Sales Designer,Falkirk,None,None,None,01/06/2024,15/04/2024,"As a Kitchen Sales Designer, you will support our Trade customers, by turning their clients’&nbsp;dream kitchens into a reality.&nbsp; Meeting end users in their homes&nbsp;you will listen to their vision, seek to clearly understand their needs, and offer your expert advice. You will then&nbsp;plan&nbsp;and&nbsp;design&nbsp;inspirational&nbsp;kitchens&nbsp;that exceed&nbsp;their expectations for both design and utility.&nbsp;You will have the co...",0,https://www.reed.co.uk/jobs/kitchen-sales-designer/52474203,52474203
495572,Aldi,None,None,Store Assistant,FK77WR,12.0,12.95,GBP,28/05/2024,20/04/2021,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",109,https://www.reed.co.uk/jobs/store-assistant/42510126,42510126
