employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
495572,Aldi,None,None,Store Assistant,HP79DA,12.0,12.95,GBP,28/05/2024,21/02/2024,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",20,https://www.reed.co.uk/jobs/store-assistant/52171217,52171217
629183,Ambient Support,None,None,Care Home Cook,HP66EJ,11.44,11.44,GBP,15/05/2024,02/04/2024,"Care Home Cook Service Name: The Croft Care Home Location: Amersham, Buckinghamshire Salary: 11.44 PH Hours: 35 Hours PW Do you want to make a positive difference to people’s lives, enabling them to gain greater independence and improve their well-being? If the answer is yes, read on! Who are Ambient Support? Ambient Support, a registered UK charity with over 25 years’ experience in providing care and support services for older people, people wi...",16,https://www.reed.co.uk/jobs/care-home-cook/52406394,52406394
629183,Ambient Support,None,None,Care Team Leader,HP66EJ,None,None,None,09/05/2024,27/03/2024,"Care Team Leader Service Name: The Croft Care Home Location: Amersham, Buckinghamshire Hours: Various Hours, Days and Nights Do you want to make a positive difference to people’s lives, enabling them to gain greater independence and improve their well-being? If the answer is yes, read on! Who are Ambient Support? Ambient Support, a registered UK charity with over 25 years’ experience in providing care and support services for older people, peopl...",4,https://www.reed.co.uk/jobs/care-team-leader/52389137,52389137
666209,Jewson,None,None,HGV Driver - Amersham,Amersham,None,None,None,07/05/2024,08/04/2024,"HGV CLASS 2 DRIVER *HIAB TRAINING PROVIDED*- JEWSON AMERSHAM Are you looking to enhance your career with the European leader in supply and distribution of building materials? Jewson, alongside its sister brands form the STARK Group and we are looking for enthusiastic and committed drivers to join our team. What's in it for you? Social working hours between 07:00 - 16:30 and alternate Saturdays 08:00 - 12:00 Fully funded induction at our industry...",1,https://www.reed.co.uk/jobs/hgv-driver-amersham/52436357,52436357
651115,Vistry Group PLC,None,None,Project Director,Coleshill,None,None,None,23/05/2024,10/04/2024,"Role overview ID: 2024-5494 Entity: Vistry Region: Vistry South West Midlands Department: Technical Contract Type: Permanent - Full Time Job Location: Coleshill, West Midlands Date Posted: 10.04.2024 We have an incredible new opportunity for a Project Director to lead the overall technical strategy and development management on a new multi-branded scheme of up to 2,200 dwellings to be delivered through a Joint Venture Partnership, based at our S...",4,https://www.reed.co.uk/jobs/project-director/52448366,52448366
629183,Ambient Support,None,None,Kitchen Assistant,HP66EJ,11.44,11.44,GBP,25/05/2024,19/01/2024,"Kitchen Assistant Service Name: The Croft Care Home Location: Amersham, Buckinghamshire Salary: 11.44 per hour Hours: 21 Hours PW Do you want to make a positive difference to people’s lives, enabling them to gain greater independence and improve their well-being? If the answer is yes, read on! Who are Ambient Support? Ambient Support, a registered UK charity with over 25 years’ experience in providing care and support services for older people, ...",97,https://www.reed.co.uk/jobs/kitchen-assistant/51982808,51982808
651115,Vistry Group PLC,None,None,Group Architectural Technician,Coleshill,None,None,None,29/05/2024,16/04/2024,"Role overview ID: 2024-5460 Entity: Vistry Services Region: Vistry Services Department: Technical Contract Type: Fixed Term Contract - Full Time Job Location: Coleshill, West Midlands Date Posted: 16.04.2024 We have a new opportunity for a Group Architectural Technician to join our team within Vistry Services, at our Coleshill office. As our Group Architectural Technician, you will be responsible for supporting the Group Design and Technical fun...",0,https://www.reed.co.uk/jobs/group-architectural-technician/52482901,52482901
629183,Ambient Support,None,None,Deputy Care Home Manager,HP66EJ,26634.0,26634.0,GBP,15/05/2024,02/04/2024,"Deputy Care Home Manager Service Name: The Croft Care Home Location: Amersham, Buckinghamshire Salary: 26,634 PA (before successful completion of probation) Hours: 38 Hours PW (Weekends and on call included) Do you want to make a positive difference to people’s lives, enabling them to gain greater independence and improve their well-being? If the answer is yes, read on! Who are Ambient Support? Ambient Support, a registered UK charity with over ...",9,https://www.reed.co.uk/jobs/deputy-care-home-manager/52406436,52406436
629183,Ambient Support,None,None,Administrator,HP66EJ,19110.12,19110.12,GBP,26/04/2024,14/03/2024,"Administrator Service Name: The Croft Care Home Location: Amersham, Buckinghamshire Salary: 19,110.12 Per Annum Hours: 35 Hours PW Do you want to make a positive difference to people’s lives, enabling them to gain greater independence and improve their well-being? If the answer is yes, read on! Who are Ambient Support? Ambient Support, a registered UK charity with over 25 years’ experience in providing care and support services for older people,...",48,https://www.reed.co.uk/jobs/administrator/52311944,52311944
495572,Aldi,None,None,Deputy Manager,HP79DA,13.25,14.2,GBP,28/05/2024,21/02/2024,"In this incredibly varied role, you'll help manage a store that's better and more successful than ever before. You'll take real pride in maximising sales, ensuring great customer service, minimising costs and optimising operational efficiency. There's real responsibility too. In the absence of the Store Manager and Assistant Store Manager, you'll be fully in charge of the store, gaining valuable experience to help you take your next step in mana...",2,https://www.reed.co.uk/jobs/deputy-manager/52171218,52171218
