employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
670612,QBE Management Services (UK) Limited,None,None,Credit Control Coordinator - German speaking,Chelmsford,None,None,None,18/05/2024,05/04/2024,"Primary Details Time Type: Full time Worker Type: Employee The Opportunity This is an exciting time to be joining our as we embark on several projects.&nbsp;&nbsp; We are seeking proficient German language speakers who are looking for a chance to establish their career in a supportive environment where anything is possible. Are you ready to grow your career with us? If you are a team player with a desire to learn, then this is the role for you. ...",4,https://www.reed.co.uk/jobs/credit-control-coordinator-german-speaking/52428829,52428829
651115,Vistry Group PLC,None,None,Quantity Surveyor,Warley,None,None,None,26/05/2024,15/03/2024,"Role overview ID: 2024-5170 Entity: Vistry Region: Vistry East London Department: Commercial Contract Type: Permanent - Full Time Job Location: Warley, Essex Date Posted: 01.03.2024 We have a fantastic opportunity for a Quantity Surveyor to join our team at Vistry East London at our office in Brentwood, Essex. As our Quantity Surveyor you will report to the Senior Quantity Surveyor and work on specific developments in the local area. The main du...",1,https://www.reed.co.uk/jobs/quantity-surveyor/52322933,52322933
420113,M. K. M. BUILDING SUPPLIES,None,None,Yard Assistant/ Counter Salesperson,CM26TE,None,None,None,26/04/2024,05/04/2024,Yard Assistant / Counter Salesperson In this role you will work as part of our external team of staff. Responsibilities and Duties Assisting customers both in the yard and at the trade counter Providing excellent customer service and product advice Loading and unloading vehicles Picking and checking orders Storing stock safely Maintaining a tidy and safe working environment. Please be aware the shift pattern for this role includes working altern...,4,https://www.reed.co.uk/jobs/yard-assistant-counter-salesperson/52428748,52428748
493222,Howdens Joinery,None,None,Kitchen Sales Designer,Brentwood,None,None,None,26/05/2024,28/03/2024,"As a Kitchen Sales Designer, you will support our Trade customers, by turning their clients’&nbsp;dream kitchens into a reality.&nbsp; Meeting end users in their homes&nbsp;you will listen to their vision, seek to clearly understand their needs, and offer your expert advice. You will then&nbsp;plan&nbsp;and&nbsp;design&nbsp;inspirational&nbsp;kitchens&nbsp;that exceed&nbsp;their expectations for both design and utility.&nbsp;You will have the co...",4,https://www.reed.co.uk/jobs/kitchen-sales-designer/52390686,52390686
651115,Vistry Group PLC,None,None,Divisional Finance Controller,Brentwood,None,None,None,26/05/2024,15/03/2024,"Role overview ID: 2023-4997 Entity: Vistry Region: Vistry Division Department: Finance &amp; Tax Contract Type: Permanent - Full Time Job Location: Brentwood, Essex, CM13 3AT Date Posted: 15.12.2023 We have a new opportunity for a Divisional Finance Controller to join our team within Vistry Division, at our Brentwood office in Essex. As our Divisional Finance Controller, you will be responsible for key financial oversight role for the Division e...",15,https://www.reed.co.uk/jobs/divisional-finance-controller/52325951,52325951
268423,Focus Resourcing,None,None,Waste Specialist Sales,Brentwood,30000.0,40000.0,GBP,18/05/2024,05/04/2024,"Client Relationship Manager required to generate and maximise business within an already established organisation. Salary per annum will be 30,000 - 40,000 depending on experience, plus company car , and uncapped commission . Hours of work are Monday - Friday 8am until 5pm. This is a field based role covering the South East up to Birmingham, with 1 day spent in the Essex office. Candidates applying for this role will have strong working relation...",8,https://www.reed.co.uk/jobs/waste-specialist-sales/52427319,52427319
268423,Focus Resourcing,None,None,Waste Customer Service Manager,Brentwood,40000.0,45000.0,GBP,18/05/2024,05/04/2024,"Customer Service Manager required to lead a fast paced, customer focused team. Salary is between 40,000 - 45,000. Hours of work Monday - Friday, 8am - 5pm. The ability to lead a team, implementing KPI's , setting high-standards, and multi-tasking alongside new projects is essential. Own transport is required to access the office. Please note this is not a hybrid or remote working role. Duties: Point of call for telephone and email customer escal...",21,https://www.reed.co.uk/jobs/waste-customer-service-manager/52427309,52427309
647856,Abbotts,None,None,Trainee Mortgage Advisor,SS67BU,None,None,None,22/05/2024,09/04/2024,"Job Description Abbotts Estate Agency are looking for a Qualified Trainee Mortgage and Protection Advisor to join them in Rayleigh. OTE 40,000 - 80,000 We are looking for an exceptional person who has the skills, attributes and drive to improve our customers experience throughout the mortgage process. You will need to be adaptable, self-motivated and comfortable working in a fast paced, target driven environment. What can we offer you as our Tra...",3,https://www.reed.co.uk/jobs/trainee-mortgage-advisor/52442586,52442586
602057,City Plumbing,None,None,Showroom Sales Manager,CM13AR,None,None,None,18/05/2024,16/03/2024,"#ShowOffYourShowroom Come and join us as a results driven Showroom Sales Manager to grow and deliver sales as part of a hugely successful branch team. &nbsp; The role: As a Showroom Sales Manager, you know that the perfect bathroom needs planning, it requires trust, a creative flair and the ability to bring an idea to life - this is where you come in! You will identify and capitalise on every sales opportunity, inspiring your customers with the ...",3,https://www.reed.co.uk/jobs/showroom-sales-manager/52326185,52326185
493222,Howdens Joinery,None,None,Assistant Depot Manager,Hockley,None,None,None,26/05/2024,20/03/2024,"As an Assistant Depot Manager, you will support your Depot Manager with the day-to-day running of the depot, and you will always identify and suggest new opportunities to grow sales. The support you offer your Depot Manager can range from reviewing the P&amp;L to recruiting, leading by example, and motivating the team in order to achieve and exceed sales targets by building strong working relationships with the local trade.&nbsp; The pace is fas...",5,https://www.reed.co.uk/jobs/assistant-depot-manager/52350937,52350937
