employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
602057,City Plumbing,None,None,Assistant Branch Manager,NW90EW,None,None,None,18/05/2024,05/04/2024,"#GoWithYourFlow Come and join us as a results driven&nbsp; Assistant Manager to deliver sales and exceed customer expectations as part of a hugely successful branch team. The Role: As an Assistant Branch Manager, you will report directly to the Branch Manager and support the day to day running of the branch. You will identify and capitalise on every sales opportunity, inspiring your customers with the perfect solutions for their requirements. Th...",5,https://www.reed.co.uk/jobs/assistant-branch-manager/52429138,52429138
582327,ITonlinelearning Recruitment,None,None,Cyber Security Trainee,HA12XY,24000.0,37000.0,GBP,22/05/2024,16/01/2024,"Cyber Security Placement Programme - No Experience Required Are you looking to benefit from a new career in IT and Cybersecurity? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level IT and Cybersecurity staff that can hit the ground running with up-to-date skills gained ...",30,https://www.reed.co.uk/jobs/cyber-security-trainee/51961445,51961445
582327,ITonlinelearning Recruitment,None,None,Trainee Project Administrator,HA12XY,26000.0,38000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Project Management? If you are organised, competent, dependable and can communicate well and motivate those around you; you could have a truly rewarding future as a Project Manager. We do this using our specialised programme looking at placing candidates into gateway project management positions to build the foundation of a project management career. Please note this career program is designed for ...",32,https://www.reed.co.uk/jobs/trainee-project-administrator/51961439,51961439
582327,ITonlinelearning Recruitment,None,None,Trainee Project Support,HA12XY,26000.0,35000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Project Management? If you are organised, competent, dependable and can communicate well and motivate those around you; you could have a truly rewarding future as a Project Manager. We specialise in placing candidates within the project sector using our career progression and placement program. Please note this career program is designed for entry level individuals with limited or no experience, so...",10,https://www.reed.co.uk/jobs/trainee-project-support/51961422,51961422
582327,ITonlinelearning Recruitment,None,None,Trainee Project Manager,HA12XY,26000.0,38000.0,GBP,22/05/2024,16/01/2024,"Are you looking to benefit from a new career in Project Management? If you are organised, competent, dependable and can communicate well and motivate those around you; you could have a truly rewarding future as a Project Manager. We do this using our specialised programme looking at placing candidates into gateway project management positions to build the foundation of a project management career. Please note this career program is designed for ...",25,https://www.reed.co.uk/jobs/trainee-project-manager/51961409,51961409
599129,Elysium Healthcare,None,None,Ward Manager,WD63QU,45000.0,45000.0,GBP,18/05/2024,05/04/2024,"Being a Ward Manager is more than just managing a team. It's being a leader, an expert, being the driving force behind a positive culture, providing guidance, nurturing talent, and most importantly, looking after everyone within your ward. If you agree, then you're the Ward Manager we're looking for.&nbsp;&nbsp; Whether you're a senior nurse looking for the next step in your career, or a seasoned Ward Manager looking for a new ward to make your ...",2,https://www.reed.co.uk/jobs/ward-manager/52428929,52428929
599129,Elysium Healthcare,None,None,Consultant Psychiatrist,AL96NN,10000.0,10000.0,GBP,22/05/2024,27/02/2024,"Join the vibrant team at Rhodes Wood Hospital, a specialist CAMHS Eating Disorder service with 3 wards that empowers recovery in a fast-paced, challenging and fun environment for children and young people aged 8-18 years with eating disorders - which offers compressed hours flexibility and a relocation package of 8,000. Rhodes Wood is working through a programme to continually innovate, improve and deliver excellent care to our young people and ...",2,https://www.reed.co.uk/jobs/consultant-psychiatrist/52205543,52205543
647887,Connells,None,None,Lettings Property Lister,HA12RH,None,None,None,18/05/2024,05/04/2024,"Job Description OTE- 30,000 - Uncapped Commission - Company Car/Car Allowance - Career Progression At Connells , we're looking for a highly motivated Estate Agent to join as Lettings Property Lister complementing our fantastic residential lettings team in branch in Harrow . What's in it for you Lettings Lister Valuer? Industry leading training and development Full support and training to become ARLA – NFOPP qualified Demonstrable career ladder C...",0,https://www.reed.co.uk/jobs/lettings-property-lister/52428281,52428281
517542,Academia,None,None,Microsoft Solutions Engineer,HP27DW,None,None,None,22/05/2024,09/04/2024,"About the role: As a result of rapid growth plans a fantastic opportunity has arisen for a Microsoft Solutions Engineer to join our team of dedicated technical experts, reporting to the IT Service Desk Team Leader. This is an ideal opportunity for somebody who is looking to start their carer within the IT function. We can offer you long term career development within a well-established and growing technical team of Tier 1, Tier 2 and Tier 3 Engi...",9,https://www.reed.co.uk/jobs/microsoft-solutions-engineer/52443658,52443658
629183,Ambient Support,None,None,Registered Care Home Manager,AL95AR,None,None,None,18/05/2024,05/04/2024,"Registered Care Home Manager Service Name: St Audreys Location: St Audreys, Church Street, Old Hatfield, AL9 5AR Salary: Salary negotiable Hours: 38 Hours PW Do you want to make a positive difference to people’s lives, enabling them to gain greater independence and improve their well-being? If the answer is yes, read on! Who are Ambient Support? Ambient Support, a registered UK charity with over 25 years’ experience in providing care and support...",6,https://www.reed.co.uk/jobs/registered-care-home-manager/52427592,52427592
343210,Booker Group,None,None,Class 1 Driver - Saturday Only,HP27DX,None,None,None,01/05/2024,04/04/2024,"About the role We are currently hiring Class 1 Drivers to join our Transport Team. As a Class 1 Driver, you will play a vital role in the safe delivery of stock to our independent retailers\' stores. In addition to competitive pay, we also offer overtime opportunities and fully funded CPC training hours. We understand that some of the job duties, such as handballing and manual work, can be physically demanding, but we provide a supportive and re...",3,https://www.reed.co.uk/jobs/class-1-driver-saturday-only/52421211,52421211
599129,Elysium Healthcare,None,None,Personal Assistant and Compliance Lead,WD63QU,30000.0,30000.0,GBP,18/05/2024,05/04/2024,"As the Hospital Directors right-hand person, you will provide detailed and confidential administrative and secretarial support to ensure the service continues to run smoothly and those at the service receive great healthcare.&nbsp; You will be working 37.5 hours a week, Monday to Friday at Barnet Lane Clinic in Borehamwood as a Personal Assistant and Compliance Lead. This doesn’t mean you will have the workload of two people, but rather that you...",36,https://www.reed.co.uk/jobs/personal-assistant-and-compliance-lead/52427275,52427275
412957,Twentyfour Recruitment Group,None,None,Part Time Accounts Payable Assistant,Potters Bar,None,None,None,18/05/2024,05/04/2024,"We are urgently seeking an Accounts Payable Assistant to work 3 days pw (Wednesday, Thursday &amp; Friday) at our client's office in Potters Bar on an ongoing Temporary basis This role will be based onsite from 9am to 5pm KEY RESPONSIBILITIES Preparing and processing payment runs and manual payments Organising, registering, matching purchase ledger invoices Seeking approval from purchasers and managers for invoice variances Ensuring invoice paym...",26,https://www.reed.co.uk/jobs/part-time-accounts-payable-assistant/52427251,52427251
87389,Cavendish Maine Recruitment,None,None,Area Sales Manager,WD173EU,50000.0,50000.0,GBP,22/05/2024,09/04/2024,"Do you want to work for a flagship brand with an enviable history of stunning products and sales success? My client are market leaders in the fire trade industry supplying a trusted range of fire extinguishers and fire protection products offering a 'one-stop-shop’ approach to every aspect of fire safety. The company is a family run business, who supply fire safety equipment into businesses across the UK. They pride themselves on always deliveri...",9,https://www.reed.co.uk/jobs/area-sales-manager/52442307,52442307
343210,Booker Group,None,None,Solutions Analyst,AL109TR,None,None,None,01/05/2024,27/03/2024,"About the role As a key member of the National Accounts team, you will play an instrumental part in delivering exceptional levels of service to this key Public Sector contract, working closely with our partner DHL, &amp; Customer HMPPS (Her Majesty’s Prison &amp; Probation Service). To be successful in this role you will need to be able to prioritise a varied workload, have &nbsp;good PC skills and a sound working knowledge of Excel.&nbsp;In add...",23,https://www.reed.co.uk/jobs/solutions-analyst/52384978,52384978
624770,Arco Recruitment,None,None,Yard Operative - Builders Merchant,N200HD,27000.0,28000.0,GBP,09/05/2024,09/04/2024,"We currently have an opportunity for a Yard Assistant&nbsp;to join a growing independent builders’ merchant. You will be responsible for handling materials, goods and equipment. Duties will include: Operating forklifts, loading and unloading trucks, organizing and storing materials, maintaining inventory records, and performing routine maintenance tasks. First point of contact for customers arriving at the branch Be responsible for inspecting in...",5,https://www.reed.co.uk/jobs/yard-operative-builders-merchant/52442207,52442207
393720,GCB Recruitment,None,None,Senior Sales Manager,N209QJ,35000.0,60000.0,GBP,18/05/2024,05/04/2024,"Are you an experienced Sales Manager looking for a step up in your career to join a company that offers strong earning potential and benefits. Our clients, well-respected Estate Agents are looking for an experienced Senior Sales Manager to join their busy team in Totteridge. They are looking for a self-driven individual with at least 3 years of experience as a Branch Manager/Sales Manager. Our clients are offering the successful Senior Sales Man...",8,https://www.reed.co.uk/jobs/senior-sales-manager/52426159,52426159
393720,GCB Recruitment,None,None,Branch Manager,HA39DA,22000.0,50000.0,GBP,18/05/2024,05/04/2024,"Are you an experienced Branch Manager or Senior Sales Negotiator looking for the next step in your career? Our client, a well-established and successful Estate Agency is looking for a Branch Manager to join their successful team in Harrow. Our clients are offering the successful Branch Manager: 22,000 - 25,000 basic 50,000 OTE Company car Working hours for the Branch Manager: Full time Monday to Friday Alternate Saturdays Branch Manager requirem...",1,https://www.reed.co.uk/jobs/branch-manager/52426137,52426137
393720,GCB Recruitment,None,None,Senior Sales Manager,EN55SY,25000.0,55000.0,GBP,18/05/2024,05/04/2024,"Are you an experienced Sales Manager looking for a step up in your career to join a company that offers strong earning potential and benefits? Our clients, well-respected Estate Agents are looking for an experienced Senior Sales Manager to join their busy team in Barnet They are looking for a self-driven individual with at least 3 years of experience as a Branch Manager/Sales Manager. Our clients are offering the successful Senior Sales Manager:...",2,https://www.reed.co.uk/jobs/senior-sales-manager/52426074,52426074
610950,TalentTech Recruitment,None,None,Area Sales Manager,St. Albans,32000.0,36000.0,GBP,22/05/2024,09/04/2024,"Area Sales Manager Heavy Duty Lifts 32,000 - 36,000 basic salary, On Target Earnings up to 60k, Company Car, Pension, Flexible holiday benefits Home based role - Covering the South East Northampton, Milton Keynes, Stevenage, Guildford, Essex, Luton, St Albans, and Twickenham ·This is a great opportunity to join a well-respected organisation with a great product portfolio. ·Market leader of heavy duty lifts that supply a variety of automotive wor...",15,https://www.reed.co.uk/jobs/area-sales-manager/52441335,52441335
473192,Barchester Healthcare,None,None,Sales and Marketing Executive,NW22LH,40000.0,40000.0,GBP,02/05/2024,20/03/2024,"Barchester are recruiting a Sales and Marketing Executive to join our fantastic care home team. We are looking for a friendly sales professional with a healthcare background who will support this stunning home to increase occupancy. This is your opportunity to work alongside an exceptional management team to ensure the success of a first-class care home. Barchester are an industry-leading care provider, holding some of the best quality ratings o...",110,https://www.reed.co.uk/jobs/sales-and-marketing-executive/52345677,52345677
495572,Aldi,None,None,Deputy Manager,Barnet,14.8,15.1,GBP,13/05/2024,22/02/2024,"In this incredibly varied role, you'll help manage a store that's better and more successful than ever before. You'll take real pride in maximising sales, ensuring great customer service, minimising costs and optimising operational efficiency. There's real responsibility too. In the absence of the Store Manager and Assistant Store Manager, you'll be fully in charge of the store, gaining valuable experience to help you take your next step in mana...",3,https://www.reed.co.uk/jobs/deputy-manager/52183701,52183701
602128,H. Samuel,None,None,Supervisor - H. Samuel - Permanent - Part Time,WD172HS,None,None,None,17/04/2024,04/04/2024,Our Supervisors have a special talent for amazing our Customers! Permanent Supervisor - Part Time&nbsp; We firmly believe that jewellery retail is all about having great product knowledge. Where do the gems come from in that necklace? How does that watch keep such exact time? Every product we sell has many facets behind it – and our Store Supervisors are the people who bring that product knowledge to life!&nbsp; You’ll be a role model of amazing...,9,https://www.reed.co.uk/jobs/supervisor-h-samuel-permanent-part-time/52425372,52425372
495572,Aldi,None,None,Stock Assistant,HP24NW,12.0,12.0,GBP,20/04/2024,17/08/2021,"It feels brilliant to be part of a business that does things its own way and achieves fantastic results while doing so. That’s how you’ll feel as a Stock Assistant with Aldi. It’s a really fast paced environment, so there’s certainly no risk of getting bored. And everyone here understands exactly what needs to happen to make their store a success – and gets on with doing it. But the team is fairly small, so if you’re not contributing it will soo...",141,https://www.reed.co.uk/jobs/stock-assistant/43726901,43726901
514667,Greencore,None,None,Goods In operative - Am Shift,AL109TQ,13.0,14.15,GBP,21/05/2024,08/04/2024,"Why Greencore? You may not have heard of us, but we're sure you've tried our products because we supply food for the all the major supermarkets in the UK. Our vast direct-to-store (DTS) distribution network, comprising of 18 depots nationwide, enables us to make over 11,500 daily deliveries of our own chilled and frozen produce and that of third parties. Our Distribution Centre in Hatfield is a major picking depot, employing more than 180 collea...",44,https://www.reed.co.uk/jobs/goods-in-operative-am-shift/52440271,52440271
647887,Connells,None,None,Lettings Administrator,HA12RH,None,None,None,17/05/2024,04/04/2024,"Job Description Competitive Salary - Career Progression At&nbsp; Connells , we're&nbsp;looking for a highly motivated&nbsp; Lettings Administrator&nbsp; to support our fantastic team in branch in&nbsp; Harrow . As our&nbsp; Letting Administrator&nbsp; you will take ownership of office administration accurately and efficiently and in a professional manner, within a busy customer facing environment. What’s in it for you as our Lettings Administrat...",33,https://www.reed.co.uk/jobs/lettings-administrator/52425138,52425138
647862,Bairstow Eves,None,None,Trainee Mortgage Advisor,N128PR,None,None,None,21/05/2024,08/04/2024,"Job Description Bairstow Eves Estate Agency are looking for a Qualified Trainee Mortgage and Protection Advisor to join them in North Finchley. OTE 35k We are looking for an exceptional person who has the skills, attributes and drive to improve our customers experience throughout the mortgage process. You will need to be adaptable, self-motivated and comfortable working in a fast paced, target driven environment. What can we offer you as our Tra...",7,https://www.reed.co.uk/jobs/trainee-mortgage-advisor/52440146,52440146
495572,Aldi,None,None,Store Assistant,HA40EH,13.55,13.85,GBP,20/04/2024,25/07/2021,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",575,https://www.reed.co.uk/jobs/store-assistant/43478853,43478853
495572,Aldi,None,None,Deputy Manager,NW90AW,14.8,15.1,GBP,20/04/2024,01/08/2023,"In this incredibly varied role, you'll help manage a store that's better and more successful than ever before. You'll take real pride in maximising sales, ensuring great customer service, minimising costs and optimising operational efficiency. There's real responsibility too. In the absence of the Store Manager and Assistant Store Manager, you'll be fully in charge of the store, gaining valuable experience to help you take your next step in mana...",15,https://www.reed.co.uk/jobs/deputy-manager/50939848,50939848
428645,Venn Group,None,None,HR Business Partner,NW44BT,49617.0,57038.0,GBP,03/05/2024,04/04/2024,"A position has arisen at a London based University for a HR Business Partner to support the development and retention of Talent to meet organisational needs. Work collaboratively with key stakeholders across the organisation to develop, implement, and deliver strategic workforce plans that provide the talent, skills, resource, and diversity required. Job duties: Oversee the process of Change Management within the University and lead the change m...",59,https://www.reed.co.uk/jobs/hr-business-partner/52424889,52424889
599129,Elysium Healthcare,None,None,Lead Occupational Therapist,EN62SE,45000.0,45000.0,GBP,25/05/2024,12/04/2024,"Are you an experienced Occupational Therapist looking to take the next step in you career? If so, join the team at Potters Bar Clinic&nbsp;as a Lead Occupational Therapist.&nbsp;&nbsp; You will be joining a service for adults and adolescents with Mental Health issues. Potters bar consists of 2 adult acute wards and 2 CAHMS low secure wards. What you will be doing As the Lead Occupational Therapist, you will be managing and leading the Occupation...",1,https://www.reed.co.uk/jobs/lead-occupational-therapist/52467789,52467789
343210,Booker Group,None,None,Senior Transport Clerk,AL109TR,None,None,None,04/05/2024,04/04/2024,"About the role We&nbsp;have an exciting opportunity&nbsp;for a Senior Transport Clerk to work in our busy Transport office. You will support the day to day administration of the Transport department, overseeing the tasks&nbsp;planning and functions of the&nbsp;Transport Clerks. They will report to the Transport Manager and contribute to the Department’s success by ensuring KPI’s are continually met.&nbsp; It is essential to have a keen eye for d...",4,https://www.reed.co.uk/jobs/senior-transport-clerk/52424708,52424708
343210,Booker Group,None,None,Warehouse Operative - PM\'s,HP27DX,None,None,None,26/04/2024,04/04/2024,"About the role As a warehouse Operative, you will be working as a member of the warehouse team with your duties including: Receiving Storing Picking Stacking Despatching You will be doing this with our ambient and chilled goods working to a consistent high quality and in a safe, efficient and effective manner. The shift times for this role are 2pm-10pm with the working days being any 5 from 7. Role Responsibility 0 You will need To be successful...",104,https://www.reed.co.uk/jobs/warehouse-operative-pms/52424710,52424710
343210,Booker Group,None,None,Part Time Branch Assistant,WD247GY,None,None,None,04/05/2024,12/04/2024,"About the role *This is a Part Time Position We are looking for someone with a real can-do attitude who is passionate about delivering excellent customer service and willing to go the extra mile for our customers. Working as part of a team you will be working in a dynamic, fast paced environment where no two days are the same. We are 5/7 day operation, (check our website for specific opening times.) We only recruit individuals who are aged 17 an...",10,https://www.reed.co.uk/jobs/part-time-branch-assistant/52467778,52467778
412957,Twentyfour Recruitment Group,None,None,Administrator,NW110AA,28000.0,32000.0,GBP,21/05/2024,08/04/2024,"An established and growing Wealth Management company in North West London are seeking an Administrator to join their team on a permanent basis. This role is suited for someone with previous experience working in Wealth Management or IFA practice. This role will involve cooperating with Financial planners and branch managers whilst dealing with front of house and general administrative tasks. This is an office based role, Monday to Friday, 9am-5....",70,https://www.reed.co.uk/jobs/administrator/52439294,52439294
