source_id,job_title_name,experience_level,published,salary_min,salary_max,joboffer_url,currency_symbol,location_country,job_site,skills,categories,data_source_name
52380919,Business Development Executive,Medium,2024-03-26,26000,28000,https://www.reed.co.uk/jobs/business-development-executive/52380919,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52380857,Sales Account Manager,Medium,2024-03-26,35000,42000,https://www.reed.co.uk/jobs/sales-account-manager/52380857,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52380785,Library Assistant - Performing Arts,Medium,2024-03-26,23114,24294,https://www.reed.co.uk/jobs/library-assistant-performing-arts/52380785,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52416151,Group Financial Accountant,Medium,2024-04-03,55000,55000,https://www.reed.co.uk/jobs/group-financial-accountant/52416151,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52180663,Electrician,Medium,2024-02-22,40000,42000,https://www.reed.co.uk/jobs/electrician/52180663,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52379564,Receptionist/Administrator,Medium,2024-03-26,24000,25000,https://www.reed.co.uk/jobs/receptionist-administrator/52379564,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52379195,IT Support Analyst,Medium,2024-03-26,30000,32000,https://www.reed.co.uk/jobs/it-support-analyst/52379195,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data analyst'],reed
51905356,Mortgage Advisor,Medium,2024-01-08,25000,60000,https://www.reed.co.uk/jobs/mortgage-advisor/51905356,GBP,United Kingdom,"hybrid, remote",['_NOTFOUND_'],['Other'],reed
52413080,Senior Site Operative,Senior,2024-04-03,24991,26267,https://www.reed.co.uk/jobs/senior-site-operative/52413080,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52378068,Office Manager,Medium,2024-03-26,34000,37000,https://www.reed.co.uk/jobs/office-manager/52378068,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52411270,Sales Controller,Medium,2024-04-02,30000,60000,https://www.reed.co.uk/jobs/sales-controller/52411270,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52410701,People Advisor,Medium,2024-04-02,30000,35000,https://www.reed.co.uk/jobs/people-advisor/52410701,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52374577,Business Development Manager,Medium,2024-03-25,27000,32000,https://www.reed.co.uk/jobs/business-development-manager/52374577,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52371543,Branch Manager,Medium,2024-03-25,25000,50000,https://www.reed.co.uk/jobs/branch-manager/52371543,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52407740,Trainee Mortgage Adviser,Junior,2024-04-02,25000,50000,https://www.reed.co.uk/jobs/trainee-mortgage-adviser/52407740,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52407738,Trainee Mortgage Adviser,Junior,2024-04-02,25000,50000,https://www.reed.co.uk/jobs/trainee-mortgage-adviser/52407738,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52371338,Senior Sales Manager,Senior,2024-03-25,30000,55000,https://www.reed.co.uk/jobs/senior-sales-manager/52371338,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52407064,Care Assistant,Medium,2024-04-02,12,13,https://www.reed.co.uk/jobs/care-assistant/52407064,GBP,United Kingdom,_notfound_,['r'],['database administrator'],reed
52406880,Care Assistant,Medium,2024-04-02,11,11,https://www.reed.co.uk/jobs/care-assistant/52406880,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52406420,Premises Maintenance Operative (Caretaker),Medium,2024-04-02,25000,30228,https://www.reed.co.uk/jobs/premises-maintenance-operative-caretaker/52406420,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52406171,Support Worker,Medium,2024-04-02,12,15,https://www.reed.co.uk/jobs/support-worker/52406171,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52369895,Property Manager,Medium,2024-03-25,39425,49925,https://www.reed.co.uk/jobs/property-manager/52369895,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52228779,Delivery Driver,Medium,2024-03-01,180,180,https://www.reed.co.uk/jobs/delivery-driver/52228779,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52398574,Cook,Medium,2024-03-28,21547,21547,https://www.reed.co.uk/jobs/cook/52398574,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52397704,Personal Assistant- 6 month fixed term,Medium,2024-03-28,35000,35000,https://www.reed.co.uk/jobs/personal-assistant-6-month-fixed-term/52397704,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
42647035,Relief Support Worker,Medium,2021-05-06,12,12,https://www.reed.co.uk/jobs/relief-support-worker/42647035,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52428929,Ward Manager,Medium,2024-04-05,45000,45000,https://www.reed.co.uk/jobs/ward-manager/52428929,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52392610,Maintenance Administrator,Medium,2024-03-28,25000,30000,https://www.reed.co.uk/jobs/maintenance-administrator/52392610,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52427275,Personal Assistant and Compliance Lead,Senior,2024-04-05,30000,30000,https://www.reed.co.uk/jobs/personal-assistant-and-compliance-lead/52427275,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52392364,Sales Negotiator,Medium,2024-03-28,16000,25000,https://www.reed.co.uk/jobs/sales-negotiator/52392364,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52426074,Senior Sales Manager,Senior,2024-04-05,25000,55000,https://www.reed.co.uk/jobs/senior-sales-manager/52426074,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
43726901,Stock Assistant,Medium,2021-08-17,12,12,https://www.reed.co.uk/jobs/stock-assistant/43726901,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52183701,Deputy Manager,Medium,2024-02-22,14,15,https://www.reed.co.uk/jobs/deputy-manager/52183701,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
41635328,Store Assistant Fixed Term,Medium,2020-12-23,12,12,https://www.reed.co.uk/jobs/store-assistant-fixed-term/41635328,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
41635133,Career Starter Stores,Medium,2020-12-23,8,8,https://www.reed.co.uk/jobs/career-starter-stores/41635133,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
41634659,Store Assistant,Medium,2020-12-23,12,12,https://www.reed.co.uk/jobs/store-assistant/41634659,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52221249,Store Assistant,Medium,2024-02-29,13,13,https://www.reed.co.uk/jobs/store-assistant/52221249,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
41634207,Store Management Apprentice,Junior,2020-12-23,8,11,https://www.reed.co.uk/jobs/store-management-apprentice/41634207,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
41634164,Store Management Apprentice,Junior,2020-12-23,8,11,https://www.reed.co.uk/jobs/store-management-apprentice/41634164,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
